ScoreType	PositiveMarkers	NegativeMarkers	Reference	SignatureTag
Ji et al (2020) Tumor-specific keratinocyte	MMP10,PTHLH,FEZ1,IL24,KCNMA1,INHBA,MAGEA4,NT5E,LAMC2,SLITRK6,MMP1,SERPINE1,SERPINE2,IGFBP6,TNC,ITGA5,ECM1,SPINK6,TMSB10,KRT18,FST,ODC1,LAMB3,ITGA6,ACTB,ITGB1,SORL1,PFN1,EMP3,S100A10,EREG,LAMA3,PRKCDBP,OCIAD2,CTSV,ANXA3,S100A2,MET,CD99,TMSB4X,TIMP3,TPM4,NEFM,SCG5,SH3BGRL3,PLAU,PKM,CD63,LGALS1,BMP1,TNFRSF12A,ATP1B1,CFL1,MBOAT2,F3,TNFRSF21,CLIC1,CAP1,PDPN,SERINC2,ANXA1,BSG,DSG2,RHOC,KRT17,PDLIM7,PHLDA1,GLO1,LTBP1,TAGLN2,CD151,CAPN2,COL5A2,IGFBP2,P4HA2,COL17A1,PLEK2,AREG,ARPC1B,GLIPR1,S100A6,PLOD3,YWHAZ,CAV1,ADIRF,TGFBI,RBP1,FSTL3,C16orf74,UPP1,TNNT1,ANXA5,SDC1,PRDX5,MYL12A,GJB6,SLC7A8,RAB32,FXYD5,FSCN1		PMID:32946785 	
Chen et al (2023) T-cell exhaustion	CD69,PDCD1,TGFB1,CTLA4,SPN,LAG3,EOMES,CXCR6,CD160,CD244,IL10,TIM3,TIGIT,KLRG1,TOX		Alaina Dougall curation based on PMID:35794339	
Fibrocyte	CD34,ACTA2,COL5A1,COL5A2,COL5A3,FN1,FAP,SIRPA,PTPRC,MME,SEMA7A		(Alquicira-Hernandez and Powell, 2021; Korsunsky, et al., 2019; Reilkoff, et al., 2011). 	
Cook & Vanderhyden (2022) Conserved EMP	TM4SF1,TACSTD2,JUN,MALAT1,SOX4,ELF3,SAT1,KLF6,HLA-A,ZFP36L1,ATP1B1,GPRC5A,JUNB,LGALS3,HLA-C,ZFP36,IER2,CD9,NDRG1,HSPA5,LDHA,PERP,B2M,HSPA1A,RHOB,SFN,IER3,CD55,DUSP1,NFKBIA,ZFP36L2,HSP90B1,S100A16,BTG1,FOSB,TIMP1,SH3BGRL3,ACTB,DDIT4,LAMB3,BST2,PHLDA2,ACTG1,SLC2A1,TNFSF10,ATF3,TSC22D1,CCND1,IL32,AHNAK,DSP,IGFBP3,ISG15,BCAM,HSP90AA1,IFITM1,LMNA,SQSTM1,APP,CALR,CD59,DST,LMO7,PKM,TNFRSF12A,C19orf33,CEACAM5,HLA-E,ITGB1,UBC,VEGFA,CD63,CEBPD,DNAJB1,VMP1,CALD1,CLDN7,CP,CTSD,PDZK1IP1,EZR,ID1,TPM1,WSB1,ERO1A,H1F0,SDC1,EMP1,FBXO32,FLNA,LGALS3BP,PGK1,SPINT2,TPM4,TSPAN8,PNRC1,ZFAS1,HSPA1B,RAB11FIP1,S100A4,MFGE8,PLAC8,SDC4,TAGLN2,F3,GSN,IFITM2,MAL2,CAV1,GADD45B,H3F3B,MYL9,SCD,SOD2,APLP2,CHI3L1,CXCL8,GDF15,IGFBP5,PMEPA1,PPP1R15A,SERINC2,PDIA6,CTSB,FHL2,GLUL,PRSS23,SFRP1,TPI1,ANXA3,CRIP2,CRYAB,HN1,ITM2B,LGALS4,PDIA3,ACTN4,CYBA,MYH9,PSAP,SYNGR2,EFNA1,HES1,MCL1,MUC13,P4HB,PLEC,RPN2,TIMP3,TMEM59,TXNIP,CLIC3,ERRFI1,MTDH,PDLIM1,SNCG,CXCL1,GABRP,ITGB4,MSLN,PRSS8,RNF213,TPM2,ADM,CAMK2N1,CRIP1,JUND,MARCKSL1,MX1,SLC16A3,TAGLN,TYMP,ARPC1B,HOPX,PLAUR,PTN,SDCBP2,SERPING1,TMC5,ACTN1,CEBPB,CST6,DSC2,FN1,GPNMB,KRT16,KRT23,MALL,MYL12A,PFN1,QSOX1,RND3,RPS21,RRBP1,TXNDC17,UBB,CCL20,CITED2,CLIC1,CTGF,DUSP6,IGFBP4,LAPTM4B,PLP2,PSMA7,TINAGL1,A2M,APOE,C1S,COL17A1,DYNLL1,HEBP2,HILPDA,HMGB3,ICAM1,ITGA2,KLF5,MUC5B,OCIAD2,PHLDA1,RHOC,TUBA1C,CD47,CTSE,FLNB,ITM2C,LAMC2,NR4A1,RTN4,SFTA2,TGFBI,APOD,ASS1,BHLHE40,BSG,C4orf3,CALM2,CDKN1A,FABP1,H2AFV,KLF4,MZT2B,NFIB,SLC25A37,SLC25A6,BAMBI,DNAJA1,FAM3C,FASN,GRN,HLA-DRB5,KLK10,LPCAT1,MYLK,NTRK2,PNISR,PRNP,PTPRF,RAC1,RAD21,SPARC,SRD5A3,XIST,CAV2,CCT5,CDH1,COL6A2,DHCR24,KLK6,LY6D,MGST3,NAMPT,NDRG2,NDUFA4L2,NDUFB9,PDLIM4,PPP1R14B,PSMB9,SCPEP1,SLC3A2,TAP1,TRPS1,ATP1A1,ATP6V0B,C2orf40,C6orf48,CA12,CCNL1,CD151,CPE,CYR61,EGLN3,FDPS,GOLM1,KRT20,KTN1,LSR,NFKBIZ,PABPC1,PI3,PSME2,PTTG1IP,REG4,SEPP1,SERPINB1,SOD3,SPINT1,SRRM2,SYT8,TSPAN13,ASPH,BIRC3,CAVIN1,CCT2,CLDN18,CLTB,CSTA,EEF2,EHF,FOLR1,HIST1H1C,PLA2G16,S100A13,SCEL,SSR4,TFF2,TMBIM1,TMBIM6		PMID:34985957	
Cook & Vanderhyden (2022) Malignant-specific EMP	ACTN4,ANXA3,APLP2,ASPH,ATF3,ATP1A1,ATP1B1,BAMBI,BSG,C19orf33,CA12,CAMK2N1,CCND1,CCT2,CCT5,CD55,CD9,CDH1,CEACAM5,CEBPD,CLDN18,CLDN7,CLTB,COL17A1,CP,CST6,CTSE,CXCL1,DHCR24,DSC2,DSP,DST,EGLN3,EHF,ELF3,ERO1A,ERRFI1,F3,FABP1,FASN,FDPS,FHL2,FLNB,FOLR1,GABRP,GDF15,GOLM1,GPRC5A,H1F0,HEBP2,HILPDA,HIST1H1C,HMGB3,HSPA1B,HSPA5,ITGA2,ITGB4,KLF5,KLK10,KLK6,KRT16,KRT20,KRT23,KTN1,LAMB3,LAMC2,LAPTM4B,LGALS4,LMO7,LPCAT1,LSR,LY6D,MAL2,MGST3,MSLN,MTDH,MUC13,MUC5B,MZT2B,NDRG1,PDIA3,PDIA6,PDZK1IP1,PERP,PHLDA2,PI3,PLA2G16,PPP1R14B,PRSS8,PTPRF,PTTG1IP,QSOX1,RAB11FIP1,RAC1,REG4,RHOB,RHOC,RND3,RPN2,RRBP1,RTN4,SCD,SCEL,SDC4,SDCBP2,SEPP1,SERINC2,SFN,SFTA2,SLC2A1,SPINT1,SPINT2,SQSTM1,SRD5A3,SYNGR2,SYT8,TACSTD2,TFF2,TMBIM1,TMC5,TMEM59,TNFRSF12A,TNFSF10,TRPS1,TSPAN8,TUBA1C,TXNDC17,VEGFA		PMID:34985957	
Pai et al (2023) Progenitor exhausted T	XCL1,MS4A4C,ID3,CXCL10,SLAMF6,TCF7,IL7R,TNFSF8,CTLA2A,LTB,CD9,SOCS3,JUN,GPR183,TRAF1,ITGB1,GM8730,EMB,GM10073		PMID:37001526	
Pai et al (2023)  CD8+ exhaustion	LAG3,HAVCR2,PDCD1,PTMS,FAM3C,IFNG,AKAP5,CD7,PHLDA1,ENTPD1,SNAP47,TNS3,CXCL13,RDH10,DGKH,KIR2DL4,LYST,MIR155HG,RAB27A,CSF1,CTLA4,TNFRSF9,CD27,CCL3,ITGAE,PAG1,TNFRSF1B,GALNT1,GBP2,MYO7A		PMID:37001526	
Pai et al (2023)  CD8 tumor-reactivity	ENTPD1,ITGAE,PDCD1,TNFRSF9,TNFRSF4,CXCL13,MKI67,HAVCR2,LAG3		PMID:37001526	
Pai et al (2023) NeoTCR-CD4	CXCL13,HMOX1,ETV7,ADGRG1,PDCD1,ENTPD1,CCDC50,TOX,CD4,TIGIT,TNFRSF18,NMB,MYL6B,AHI1,MAF,IFNG,LAG3,CXCR6,IGFLR1,DUSP4,ACP5,LINC01943,LIMS1,BATF,PCED1B,ITGAL,YPEL2,MAL,PPT1,ELMO1,MIS18BP1,TMEM173,ADI1,SLA,GALM,LBH,SECISBP2L,CTSB,C17orf49,CORO1B		PMID:37001526	
Pai et al (2023) Tumor specific	KRT86,RDH10,TYMS,HMOX1,GNG4,CXCL13,AFAP1L2,ACP5,MYO1E,LAYN,TNS3,TNFSF4,AKAP5,HAVCR2,ENTPD1,SLC2A8,AC243829.4,ZBED2,MCM5,CAV1,GOLIM4,TRAV21,VCAM1,PON2,MTSS1,CD38,TRBV11-2,MS4A6A,TOX2,CSF1,GALNT2,FXYD2,PLPP1,LMCD1,MYL6B,LAG3,HLA-DRA,IGFLR1,CCDC50,CD27,KIAA1324,CDKN2A,CD70,ABHD6,CTLA4,PDCD1,GEM,NUSAP1,TOX,CXCR6,NMB,HOPX,CLIC3,INPP5F,SNAP47,TSHZ2,HLA-DMA,SIT1,HLA-DRB1,TUBB,PYCARD,ADGRG1,HLA-DQA1,PRF1,HLA-DPA1,PTMS,CKS1B,HIPK2,CHST12,LSP1,FAM3C,SLC1A4,NUDT1,DNPH1		PMID:37001526	
Pai et al (2023)  MANA tumor-infiltrating lymphocyte	HLA-DPB1,IFNG,MIR4435-2HG,TNS3,HLA-DPA1,ENTPD1,GEM,GZMA,CCL3,HLA-DQB1,HLA-DRB1,HLA-DQA1,HLA-DRB5,HLA-DQA1,HLA-DRB5,HLA-DRA,CXCL13		PMID:37001526	
Pai et al (2023)  Virus specific	RARA,GADD45B,C1orf21,AOAH,MATK,SATB1,MBP,ANTXR2,RORA,CCR7,ANXA1,BACH2,GLUL,TNFSF14,AUTS2,PERP,EPHA4,TCF7,SELL,MYC,IL7R,CD300A,ITGA5,GPR183,KLF3,S1PR1		PMID:37001526	
Pai et al (2023)  Influenza tumor-infiltrating lymphocyte	IL7R,GPR183,KLRC1,GPR15,ARL4A,PTGER2,AUTS2,RARA,PIK3R1,LYAR,NUDT11,KLF3,CCND3,CLDND1,YPEL5		PMID:37001526	
Li (2019) Mature macrophage	CD45,Adgre1,Lyz2		PMID:30990466	
Li (2019) M1 macrophage	Nos2,CD86,Tnf,Oasl2,Cd274,Zbp1,Ly6e,Tspo,Sepw1,Irgm1,Gbp5,Psmb9,Ccl5,Ly6a,Gbp2,Irf7,Isg15,Igtp,Gbp4,Fam26f	Chil3,Arg1,RETNLB,Mgl2,Mcf2l,Smap2,Cd300ld,Csf2rb,Vwf,Timp2,Il6st,Igf1,Tmem26,Arg1,Igfbp4,Maf,Wwp1,Pcp4l1,Rgs10,Sepp1,C5ar1,Hpgds,Dpep2,Bmyc,Clec12a	PMID:30990466	
Li (2019) M2 macrophage	Chil3,Arg1,RETNLB,Mgl2,Mcf2l,Smap2,Cd300ld,Csf2rb,Vwf,Timp2,Il6st,Igf1,Tmem26,Arg1	Nos2,CD86,Tnf,Oasl2,Cd274,Zbp1,Ly6e,Tspo,Sepw1,Irgm1,Gbp5,Psmb9,Ccl5,Ly6a,Igfbp4,Maf,Wwp1,Pcp4l1,Sepp1,C5ar1,Hpgds,Dpep2,Bmyc,Clec12a,Gbp2,Irf7,Isg15,Igtp,Gbp4,Fam26f	PMID:30990466	
Li (2019) M0 macrophage (unstimulated)	Igfbp4,Maf,Wwp1,Pcp4l1,Sepp1,C5ar1,Hpgds,Dpep2,Bmyc,Clec12a	Nos2,Tnf,Oasl2,Cd274,Zbp1,Ly6e,Tspo,Sepw1,Irgm1,Gbp5,Psmb9,Ccl5,Ly6a,Chil3,Arg1,RETNLB,Mgl2,Mcf2l,Smap2,Cd300ld,Csf2rb,Vwf,Timp2,Il6st,Igf1,Tmem26,Arg1,Gbp2,Irf7,Isg15,Igtp,Gbp4,Fam26f	PMID:30990466	
Li (2019) Terminal maturation macrophage	Csf1r,Cebpb,Cd274,Itga4		PMID:30990466	
Han (2020) Fetal epithelial progenitor	BEX3,STMN1,SOX4,LDHB,SKP1,SNRPE,ID3,SRP9,GSTP1,SRP14		https://carmonalab.github.io/UCell/UCell_vignette_TILstates.html#score-general-cell-type-signatures-using-ucell	
Han (2020) Macrophage	CTSB,C1QB,LAPTM5,TYROBP,PSAP,C1QA,HLA-DRA,CTSD,NPC2,FCER1G		https://carmonalab.github.io/UCell/UCell_vignette_TILstates.html#score-general-cell-type-signatures-using-ucell	
Han (2020) B_cell_Plasmocyte	JCHAIN,IGHA1,SSR4,MZB1,IGKC,IGHA2,HERPUD1,DERL3,SEC11C,FKBP11		https://carmonalab.github.io/UCell/UCell_vignette_TILstates.html#score-general-cell-type-signatures-using-ucell	
Han (2020) Fibroblast	C1S,TIMP2,COL6A3,SEMA3C,MMP2,GSN,IGFBP6,MFAP4,COL6A1,PLAC9		https://carmonalab.github.io/UCell/UCell_vignette_TILstates.html#score-general-cell-type-signatures-using-ucell	
Han (2020) Fasciculata_cell	PEBP1,STAR,RARRES2, CLU,CYP21A2,CYP17A1,AKR1B1,NOV,TPD52L1,EPHX1		https://carmonalab.github.io/UCell/UCell_vignette_TILstates.html#score-general-cell-type-signatures-using-ucell	
Han (2020) T_cell	CD3D,CD3E,CD3G,CD4,CD2,CD7,TRAC,TRBC1,LAT		https://carmonalab.github.io/UCell/UCell_vignette_TILstates.html#score-general-cell-type-signatures-using-ucell	
Zhang et al (2021) T-cell exhaustion (human)	NDFIP2,MT1L,MYO1E,RRM2,CTLA4,AC022506.1,BHLHE40-AS1,TOX,AFAP1,PKMYT1,MAP1LC3A,MAMLD1,BATF3,RN7SL743P,TRAJ13,TNIP3,RNU6-786P,MIR3142HG,AC009088.2,HLA-DMA,MSC,AIMP2,ASB2,ADGRG1,AC023794.3,IGLV2-14,AC090152.1,TRBV27,TRAJ54,ENO1P1,NMB,LDHAP2,CCR5,MIR7848,AC145207.3,AL590133.2,RPL17-C18orf32,MIR155HG,ST8SIA1,FAM184A,AC078927.1,BUB1B,RAD51AP1,TIAM2,AKAP5,TRAJ22,AC008982.1,TRAJ42,EPOP,RNU6-1016P,C3orf14,CD200R1,TOX2,CCL4L2,FAM111B,IKZF4,RF02195,SETBP1,TRAJ32,RF00017,SNORD36A,AC115102.1,FCRL3,SLC5A2,INPP5F,AP005263.1,LINC01480,AL022067.1,NCS1,AC133644.2,AC120057.2,SLC27A2,CLECL1,BLOC1S5-TXNDC5,SECTM1,HIST1H2AJ,BCAT1,ENTPD1,RNY3P14,MIR4426,CCL3L1,AL928654.2,FAM3C2,RF00019,AL512625.3,AC006111.1,RNU6-645P,CDCA3,MT-TG,MT-TL2,RF00019,RAMP1,AL157871.4,SNORA61,TRGJP2,SNORA77,MELK,TNFRSF9,ADAM28,DTHD1,AC080023.2,SLC2A8,AL355816.1,LAIR2,AL354798.1,PTGES3P2,RDH10,SNORA70,RNU6-268P,AL360012.1,ST20-MTHFS,PDCD1,AC099329.1,AC009093.8,RN7SL653P,AC092069.1,RF02196,AC011247.2,CADM1,PDGFA,TRBV7-9,PIF1,RF00019,MSC-AS1,MT-TR,RF00019,RF00413,AL158071.2,CHN1,RN7SL559P,HAVCR2,KRT86,RN7SL246P,CCL3,RF00019,MS4A6A,RNY4P34,RNU7-1,AC009244.1,MRPS36P1,RAB38,CD86,TIGIT,CAMK1,ETV1,HECTD2,TRAJ6,TNFSF4,AC020978.5,AC090844.1,MIR6764,AC073261.1,SCARNA22,AC006064.4,LINC00271,TRAJ52,AC027319.1,KIR2DL4,RF00019,DRAIC,TRAJ4,VCAM1,AC009656.1,MYO7A,ATP8B4,CD200,LMCD1,AC013460.1,TIMD4,LINC01943,MIR4647,ZBTB20-AS1,RF02105,AC017002.3,AL035604.1,HMOX1,GNG4,AC145207.2,LINC00515,IL13,MT-TK,ZBED2,TMEM155,AL158071.3,TRAJ3,SNORD15B,RF00397,AC243829.4,SNORD104,GLDC,LINC02341,SNORD11,AC090498.1,HMGB1P17,PMCH,FNDC9,PPIAP45,MIR155,CXCL13	MYH10,TNFSF8,SERPINI1,FBXL14,FTH1P2,MGAT4A,FAM157B,NDRG2,SPATC1L,PBXIP1,IL1B,IGLV3-1,RASGRP3,SNN,AC008555.5,GZMM,IL4I1,AC108449.2,TSGA10,TRAV25,MIR6516,ZFP36L2,TRAV1-1,ETFRF1,IGLV1-47,HSPA7,GPR132,GLUL,RASA3,TMSB4XP4,DECR2,DUSP6,AL136454.1,AL137779.2,FTH1,ZBTB10,SNORD107,IGHV3-11,IGKV1-5,PIK3R1,STX3,FOS,TRBV20-1,LIPT2,SNAI3,AC127502.2,MYADM,CITED4,SNORD49B,AEBP1,GSAP,CXCR4,AC005912.1,KIFC2,AC020656.1,SMIM14,AHNAK,NME4,WFDC2,MYBL1,ANTXR2,AL590867.2,RARA,HIST4H4,SNORD32A,NEIL1,LGALS3BP,AL162377.1,RF02271,RNU6-890P,CCL2,IGFBP4,PERP,ARHGAP5,TRDC,RPL13AP7,TMEM63A,AL671277.1,LTB,DUSP1,GALNT6,TF,TRAF4,RF00004,SNORA12,MGLL,STAG3,RNU6-387P,AC021188.1,RNVU1-7,IRF2BPL,AC095055.1,TC2N,SCML1,TRAV36DV7,P2RY8,CKAP4,RAB11FIP5,HIST1H2BC,IGLV3-9,MT1G,AC105020.2,ARL4D,LINC002481,TM4SF1,HSPA2,AL671762.1,IGHV1-18,IGKV3-11,SNORD21,IGHV4-39,CX3CR1,FHL1,FGL2,PKIG,TMEM71,GZMK,SNORD20,RPS7P11,ENC1,IL22,PFN2,AC004585.1,TRABD2A,GPR183,3-Mar,BACH2,CST3,PLEKHB1,IGHV3-23,ANXA1,SVIL,DDIT4,AC099336.2,CXCL1,RNF166,IGKV2D-28,IGLV1-40,ATP1B1,IGHD,ORM1,THBS1,TSC22D3,RF00019,SMIM3,IGLV3-25,ANAPC2,RF00003,GNLY,ZSCAN18,SCARNA4,PPP1R2C,TRAV10,EMP1,PXN,CCR4,DUSP8,TSPAN2,TRBV5-5,SLC16A3,BCL9L,FGR,SNORD33,HIST1H2BD,IGKV2-28,DNAJB1,MAFF,GPR35,HMGN5,LMNA,IL3,CCR7,SNORD59A,FCER1G,GNG8,PTGDR,AC020765.2,AL365357.1,PDCD4-AS1,ACSL6,RF02166,RAB13,AC013264.1,IL12RB2,TRGV10,EPHA1-AS1,CD40LG,CXCL8,TUFT1,RPS20P14,PSMD6-AS2,GALNT3,RPL10P6,IGFBP7,CYCSP45,F8A3,NCF1,HRH2,TGFBI,LYZ,ZMAT1,COL1A2,ADRB2,TNFSF13B,SNORD13E,NUDT4P2,USP53,RPL34P27,DKK3,LDLRAP1,HIST1H2AC,SNORA10B,SERPING1,ULBP2,AL592183.1,AL591895.1,KRT19,SNORD23,MS4A1,GTSF1,SNORD55,IGKV3-20,AC109326.1,CFB,LINC02384,C11orf21,EFNA1,AC113935.1,RPS27P29,MIR616,KRT8,HIST2H2BE,AL121845.2,KRT18,TMEM176B,AC020571.1,CEBPD,SNORA26,CXCL3,MPZL2,IGHV1-3,MT1XP1,IGLV3-21,SPARC,EPHA1,AL928654.3,TNFAIP2,AL591846.1,UBE2E2,SNORD3B-1,YWHAZP5,CXCL2,SERPINA1,SYNGR1,AC004918.1,BEX5,AC026401.2,RF00003,CTH,ITGA5,RNU1-134P,LSR,RF01979,FCRL6,SNORD12C,RPL21P119,DHRS3,TRAV21,TRBV4-2,SNORA7A,AC006064.5,IGHV1-2,TXK,SPINT2,C9orf72,SNORA84,RMRP,TRBV10-2,SIK1B,AGPAT4,SFTPB,ITGA6,SLCO3A1,TSPAN32,WDR86-AS1,LARGE2,IGLC3,SERPINF1,GDPD5,LST1,AL627402.1,S1PR5,MMP9,RF00019,IL7R,KLF2,RNU1-120P,AC124312.5,FAM169A,IGHG3,SNORD94,CXCL16,AC127502.1,RPL10AP2,HIST1H2BG,IGLC2,SNORA2C,AC099560.2,SNORD14D,SNORD45A,SNORA11F,RNF144A,PLAUR,ZNF165,S100A9,CD300A,CLU,FTH1P10,MIR142,SBF2,DPP4,PCAT1,JCHAIN,SNORD22,ZBTB16,EEF1B2P6,TRAV19,MYOM2,MGP,FTH1P20,CES1,LGMN,AC011497.2,AC135068.8,SPP1,IGHV1OR15-1,TCF7,RNU6-476P,AC004832.6,APBA2,SEMA4C,IFNGR2,CCDC65,SNORD35A,AUTS2,FGF9,TRBV4-1,RNA5SP371,SPON2,RPL30P4,SNORD89,TRBV24-1,CALHM6,RPL34P18,NHSL2,AL121944.1,MPP7,LAIR1,LYPD3,SNORD91A,PLCB1,TRBV6-1,GFPT2,SORL1,SSBP2,TYROBP,PLK2,C3AR1,COL6A2,RF00003,IRS2,ISCA1P1,C1QB,LEF1,BCYRN1,C1QA,SORBS3,RASGRP2,EPHA4,KLF3,TLE1,DPEP2,AC093591.1,IGKC,GPR15,FTH1P7,HIST2H2AA4,S1PR1,IGFBP3,AL161787.1,RN7SL34P,CRIP2,LINC00239,CYB561,IL2,RF00015,AL109741.1,MIR6891,TRBV15,RPS29P5,RPL39P3,TIMP1,IGHG4,TRBV12-5,CNN3,GRASP,FGFBP2,HIST2H2AA3,CACNA1C-AS2,G0S2,IGHA1,TRBV6-4,C1orf162,TRBV7-3,NSG1,AL162151.2,TRBV10-3,RNVU1-14,LINC02273,TMIGD2,SPART,IGHG1,RF00283,KLRF1,AQP3,RF00019,TRBV25-1,VTRNA1-3,AC016596.1,MT-TQ,PLEKHG3,PLAC8,ZNF683,PLXDC1,MIR663A,CCR6,MIR1244-1,MIR1244-4,MIR1244-2,RPL41P5,RPL41P1	DOI:10.1101/2021.07.05.451111	
