Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)
ENSG00000187730	GABRD	1	2019329
ENSG00000067606	PRKCZ	1	2050411
ENSG00000162585	FAAP20	1	2184461
ENSG00000157933	SKI	1	2228319
ENSG00000116151	MORN1	1	2321253
ENSG00000157916	RER1	1	2391775
ENSG00000157911	PEX10	1	2403964
ENSG00000149527	PLCH2	1	2425980
ENSG00000157881	PANK4	1	2508537
ENSG00000197921	HES5	1	2528745
ENSG00000157873	TNFRSF14	1	2555639
ENSG00000157870	PRXL2B	1	2586491
ENSG00000142606	MMEL1	1	2590639
ENSG00000215912	TTC34	1	2635976
ENSG00000169717	ACTRT2	1	3021467
ENSG00000142611	PRDM16	1	3069168
ENSG00000130762	ARHGEF16	1	3454665
ENSG00000162591	MEGF6	1	3487951
ENSG00000158109	TPRG1L	1	3625015
ENSG00000116213	WRAP73	1	3630767
ENSG00000078900	TP73	1	3652516
ENSG00000162592	CCDC27	1	3746460
ENSG00000235169	SMIM1	1	3772749
ENSG00000130764	LRRC47	1	3778559
ENSG00000116198	CEP104	1	3812086
ENSG00000169598	DFFB	1	3857267
ENSG00000198912	C1orf174	1	3889125
ENSG00000196581	AJAP1	1	4654609
ENSG00000131697	NPHP4	1	5862811
ENSG00000069424	KCNAB2	1	5990927
ENSG00000116254	CHD5	1	6101787
ENSG00000116251	RPL22	1	6185020
ENSG00000158286	RNF207	1	6205475
ENSG00000116237	ICMT	1	6221193
ENSG00000173673	HES3	1	6244179
ENSG00000158292	GPR153	1	6247353
ENSG00000097021	ACOT7	1	6264269
ENSG00000069812	HES2	1	6412418
ENSG00000187017	ESPN	1	6424776
ENSG00000215788	TNFRSF25	1	6460786
ENSG00000171680	PLEKHG5	1	6467122
ENSG00000162408	NOL9	1	6521347
ENSG00000173662	TAS1R1	1	6555307
ENSG00000204859	ZBTB48	1	6579994
ENSG00000162413	KLHL21	1	6590724
ENSG00000116273	PHF13	1	6613731
ENSG00000041988	THAP3	1	6624868
ENSG00000007923	DNAJC11	1	6634168
ENSG00000171735	CAMTA1	1	6785454
ENSG00000049245	VAMP3	1	7771296
ENSG00000049246	PER3	1	7784291
ENSG00000049247	UTS2	1	7843083
ENSG00000049249	TNFRSF9	1	7915871
ENSG00000116288	PARK7	1	7954291
ENSG00000116285	ERRFI1	1	8004404
ENSG00000162426	SLC45A1	1	8318114
ENSG00000142599	RERE	1	8352397
ENSG00000074800	ENO1	1	8861000
ENSG00000131686	CA6	1	8945867
ENSG00000197241	SLC2A7	1	9002973
ENSG00000142583	SLC2A5	1	9035106
ENSG00000180758	GPR157	1	9100305
ENSG00000049239	H6PD	1	9234774
ENSG00000171621	SPSB1	1	9292894
ENSG00000171612	SLC25A33	1	9539465
ENSG00000188807	TMEM201	1	9588911
ENSG00000171608	PIK3CD	1	9651731
ENSG00000171603	CLSTN1	1	9728926
ENSG00000178585	CTNNBIP1	1	9848276
ENSG00000162441	LZIC	1	9922113
ENSG00000173614	NMNAT1	1	9943428
ENSG00000162444	RBP7	1	9997206
ENSG00000130939	UBE4B	1	10032832
ENSG00000054523	KIF1B	1	10210570
ENSG00000142657	PGD	1	10398592
ENSG00000251503	CENPS-CORT	1	10430102
ENSG00000175279	CENPS	1	10430433
ENSG00000241563	CORT	1	10450031
ENSG00000160049	DFFA	1	10456522
ENSG00000142655	PEX14	1	10472288
ENSG00000130940	CASZ1	1	10636604
ENSG00000175262	C1orf127	1	10946471
ENSG00000120948	TARDBP	1	11012344
ENSG00000009724	MASP2	1	11026523
ENSG00000116649	SRM	1	11054584
ENSG00000171824	EXOSC10	1	11066618
ENSG00000198793	MTOR	1	11106535
ENSG00000171819	ANGPTL7	1	11189355
ENSG00000120942	UBIAD1	1	11273198
ENSG00000204624	DISP3	1	11479155
ENSG00000116661	FBXO2	1	11637018
ENSG00000132879	FBXO44	1	11654375
ENSG00000116663	FBXO6	1	11664200
ENSG00000116670	MAD2L2	1	11674480
ENSG00000162490	DRAXIN	1	11691710
ENSG00000177674	AGTRAP	1	11736084
ENSG00000215910	C1orf167	1	11761787
ENSG00000177000	MTHFR	1	11785723
ENSG00000011021	CLCN6	1	11806096
ENSG00000175206	NPPA	1	11845709
ENSG00000120937	NPPB	1	11857464
ENSG00000116685	KIAA2013	1	11919591
ENSG00000083444	PLOD1	1	11934205
ENSG00000116688	MFN2	1	11980181
ENSG00000116691	MIIP	1	12019466
ENSG00000120949	TNFRSF8	1	12063303
ENSG00000028137	TNFRSF1B	1	12166991
ENSG00000048707	VPS13D	1	12230030
ENSG00000162496	DHRS3	1	12567910
ENSG00000204518	AADACL4	1	12644085
ENSG00000188984	AADACL3	1	12716110
ENSG00000157330	C1orf158	1	12746200
ENSG00000116726	PRAMEF12	1	12773738
ENSG00000116721	PRAMEF1	1	12791397
ENSG00000239810	PRAMEF11	1	12824605
ENSG00000179172	HNRNPCL1	1	12847377
ENSG00000120952	PRAMEF2	1	12857086
ENSG00000243073	PRAMEF4	1	12879212
ENSG00000187545	PRAMEF10	1	12892896
ENSG00000204510	PRAMEF7	1	12916610
ENSG00000232423	PRAMEF6	1	12938472
ENSG00000274764	PRAMEF27	1	13049476
ENSG00000277058	HNRNPCL3	1	13060769
ENSG00000229571	PRAMEF25	1	13068677
ENSG00000275774	HNRNPCL2	1	13115488
ENSG00000280267	PRAMEF26	1	13148907
ENSG00000179412	HNRNPCL4	1	13163914
ENSG00000204505	PRAMEF9	1	13171848
ENSG00000279169	PRAMEF13	1	13196188
ENSG00000279804	PRAMEF18	1	13222705
ENSG00000270601	PRAMEF5	1	13254212
ENSG00000182330	PRAMEF8	1	13281035
ENSG00000237700	PRAMEF33	1	13303539
ENSG00000204501	PRAMEF15	1	13315581
ENSG00000204481	PRAMEF14	1	13341892
ENSG00000204480	PRAMEF19	1	13369067
ENSG00000204479	PRAMEF17	1	13389632
ENSG00000204478	PRAMEF20	1	13416351
ENSG00000162494	LRRC38	1	13474973
ENSG00000162493	PDPN	1	13583465
ENSG00000116731	PRDM2	1	13700188
ENSG00000189337	KAZN	1	13892792
ENSG00000171729	TMEM51	1	15152532
ENSG00000142621	FHAD1	1	15236521
ENSG00000142634	EFHD2	1	15409888
ENSG00000162438	CTRC	1	15438442
ENSG00000142615	CELA2A	1	15456728
ENSG00000215704	CELA2B	1	15465909
ENSG00000132906	CASP9	1	15490832
ENSG00000116138	DNAJC16	1	15526813
ENSG00000116771	AGMAT	1	15571699
ENSG00000197312	DDI2	1	15617458
ENSG00000215695	RSC1A1	1	15659713
ENSG00000116786	PLEKHM2	1	15684320
ENSG00000162461	SLC25A34	1	15736258
ENSG00000162460	TMEM82	1	15742499
ENSG00000162458	FBLIM1	1	15756607
ENSG00000233954	UQCRHL	1	15807169
ENSG00000065526	SPEN	1	15836095
ENSG00000116809	ZBTB17	1	15941869
ENSG00000183888	SRARP	1	16004236
ENSG00000173641	HSPB7	1	16014028
ENSG00000186510	CLCNKA	1	16018875
ENSG00000184908	CLCNKB	1	16040252
ENSG00000185519	FAM131C	1	16057769
ENSG00000142627	EPHA2	1	16124337
ENSG00000142632	ARHGEF19	1	16197854
ENSG00000132881	CPLANE2	1	16231692
ENSG00000037637	FBXO42	1	16246840
ENSG00000055070	SZRD1	1	16352575
ENSG00000187144	SPATA21	1	16387117
ENSG00000157191	NECAP2	1	16440721
ENSG00000219481	NBPF1	1	16562319
ENSG00000058453	CROCC	1	16740273
ENSG00000117122	MFAP2	1	16974502
ENSG00000159363	ATP13A2	1	16985958
ENSG00000117118	SDHB	1	17018722
ENSG00000117115	PADI2	1	17066761
ENSG00000142623	PADI1	1	17205128
ENSG00000142619	PADI3	1	17249098
ENSG00000159339	PADI4	1	17308195
ENSG00000276747	PADI6	1	17372196
ENSG00000179051	RCC2	1	17406760
ENSG00000074964	ARHGEF10L	1	17539698
ENSG00000117148	ACTL8	1	17755333
ENSG00000117154	IGSF21	1	18107798
ENSG00000179023	KLHDC7A	1	18480930
ENSG00000009709	PAX7	1	18630846
ENSG00000179002	TAS1R2	1	18839599
ENSG00000159423	ALDH4A1	1	18871430
ENSG00000169991	IFFO2	1	18904280
ENSG00000127481	UBR4	1	19074510
ENSG00000127463	EMC1	1	19215660
ENSG00000053372	MRTO4	1	19251805
ENSG00000162482	AKR7A3	1	19282573
ENSG00000053371	AKR7A2	1	19303965
ENSG00000040487	SLC66A1	1	19312326
ENSG00000077549	CAPZB	1	19338775
ENSG00000173436	MICOS10	1	19484403
ENSG00000158747	NBL1	1	19596979
ENSG00000270136	MICOS10-NBL1	1	19597067
ENSG00000158748	HTR6	1	19664875
ENSG00000162542	TMCO4	1	19682240
ENSG00000178828	RNF186	1	19814029
ENSG00000169914	OTUD3	1	19882395
ENSG00000188784	PLA2G2E	1	19920009
ENSG00000188257	PLA2G2A	1	19975431
ENSG00000127472	PLA2G5	1	20028179
ENSG00000117215	PLA2G2D	1	20111939
ENSG00000158786	PLA2G2F	1	20139323
ENSG00000187980	PLA2G2C	1	20161253
ENSG00000162543	UBXN10	1	20186096
ENSG00000158816	VWA5B1	1	20290875
ENSG00000162545	CAMK2N1	1	20482391
ENSG00000090432	MUL1	1	20499448
ENSG00000183114	FAM43B	1	20552573
ENSG00000158825	CDA	1	20589086
ENSG00000158828	PINK1	1	20633458
ENSG00000244038	DDOST	1	20651767
ENSG00000117245	KIF17	1	20664014
ENSG00000189410	SH2D5	1	20719731
ENSG00000127483	HP1BP3	1	20740266
ENSG00000075151	EIF4G3	1	20806292
ENSG00000117298	ECE1	1	21217247
ENSG00000142794	NBPF3	1	21440128
ENSG00000162551	ALPL	1	21509397
ENSG00000076864	RAP1GAP	1	21596221
ENSG00000090686	USP48	1	21678298
ENSG00000187942	LDLRAD2	1	21812265
ENSG00000142798	HSPG2	1	21822244
ENSG00000219073	CELA3B	1	21977022
ENSG00000142789	CELA3A	1	22001657
ENSG00000070831	CDC42	1	22025511
ENSG00000162552	WNT4	1	22117313
ENSG00000184677	ZBTB40	1	22428838
ENSG00000070886	EPHA8	1	22563489
ENSG00000173372	C1QA	1	22636628
ENSG00000159189	C1QC	1	22643633
ENSG00000173369	C1QB	1	22652762
ENSG00000133216	EPHB2	1	22710839
ENSG00000215906	LACTBL1	1	22953043
ENSG00000227868	TEX46	1	23010834
ENSG00000004487	KDM1A	1	23019443
ENSG00000169641	LUZP1	1	23084030
ENSG00000179546	HTR1D	1	23191895
ENSG00000125944	HNRNPR	1	23303771
ENSG00000125945	ZNF436	1	23359448
ENSG00000204219	TCEA3	1	23380909
ENSG00000088280	ASAP3	1	23428563
ENSG00000007968	E2F2	1	23506438
ENSG00000117318	ID3	1	23557926
ENSG00000142676	RPL11	1	23691742
ENSG00000011007	ELOA	1	23743448
ENSG00000057757	PITHD1	1	23778418
ENSG00000011009	LYPLA2	1	23791145
ENSG00000117308	GALE	1	23795599
ENSG00000117305	HMGCL	1	23801885
ENSG00000179163	FUCA1	1	23845077
ENSG00000188822	CNR2	1	23870515
ENSG00000189266	PNRC2	1	23956839
ENSG00000188529	SRSF10	1	23964347
ENSG00000142661	MYOM3	1	24056035
ENSG00000142677	IL22RA1	1	24119771
ENSG00000185436	IFNLR1	1	24154168
ENSG00000158055	GRHL3	1	24199558
ENSG00000001460	STPG1	1	24356999
ENSG00000001461	NIPAL3	1	24415802
ENSG00000117602	RCAN3	1	24502351
ENSG00000184454	NCMAP	1	24556087
ENSG00000133226	SRRM1	1	24631716
ENSG00000169504	CLIC4	1	24745382
ENSG00000020633	RUNX3	1	24899511
ENSG00000117614	SYF2	1	25222276
ENSG00000117616	RSRP1	1	25242249
ENSG00000187010	RHD	1	25272393
ENSG00000183726	TMEM50A	1	25338317
ENSG00000188672	RHCE	1	25362249
ENSG00000204178	MACO1	1	25430858
ENSG00000157978	LDLRAP1	1	25543606
ENSG00000117643	MAN1C1	1	25616791
ENSG00000162430	SELENON	1	25800193
ENSG00000117640	MTFR1L	1	25818640
ENSG00000127423	AUNIP	1	25831913
ENSG00000182749	PAQR7	1	25861484
ENSG00000117632	STMN1	1	25884181
ENSG00000158006	PAFAH2	1	25959767
ENSG00000158008	EXTL1	1	26019884
ENSG00000158014	SLC30A2	1	26037252
ENSG00000158022	TRIM63	1	26051301
ENSG00000175087	PDIK1L	1	26111165
ENSG00000197245	FAM110D	1	26159079
ENSG00000282872	C1orf232	1	26164101
ENSG00000236782	ZNF593OS	1	26169516
ENSG00000142684	ZNF593	1	26169908
ENSG00000142675	CNKSR1	1	26177484
ENSG00000188782	CATSPER4	1	26190561
ENSG00000130695	CEP85	1	26234200
ENSG00000142669	SH3BGRL3	1	26280086
ENSG00000158062	UBXN11	1	26281328
ENSG00000169442	CD52	1	26317958
ENSG00000176092	CRYBG2	1	26321698
ENSG00000176083	ZNF683	1	26361634
ENSG00000131914	LIN28A	1	26410817
ENSG00000117682	DHDDS	1	26432282
ENSG00000198830	HMGN2	1	26472440
ENSG00000117676	RPS6KA1	1	26529761
ENSG00000117713	ARID1A	1	26693236
ENSG00000060642	PIGV	1	26787054
ENSG00000204160	ZDHHC18	1	26826688
ENSG00000175793	SFN	1	26863149
ENSG00000142751	GPN2	1	26876132
ENSG00000198746	GPATCH3	1	26890488
ENSG00000090273	NUDC	1	26900238
ENSG00000131910	NR0B2	1	26911489
ENSG00000175707	KDF1	1	26949562
ENSG00000253368	TRNP1	1	26993692
ENSG00000158246	TENT5B	1	27005020
ENSG00000090020	SLC9A1	1	27098809
ENSG00000142784	WDTC1	1	27234632
ENSG00000186501	TMEM222	1	27322145
ENSG00000142765	SYTL1	1	27342020
ENSG00000142733	MAP3K6	1	27354067
ENSG00000142748	FCN3	1	27369110
ENSG00000174950	CD164L2	1	27379176
ENSG00000181773	GPR3	1	27392622
ENSG00000158195	WASF2	1	27404230
ENSG00000126705	AHDC1	1	27534035
ENSG00000000938	FGR	1	27612064
ENSG00000126709	IFI6	1	27666064
ENSG00000009780	FAM76A	1	27725961
ENSG00000117758	STX12	1	27773219
ENSG00000117751	PPP1R8	1	27830782
ENSG00000130775	THEMIS2	1	27872543
ENSG00000117748	RPA2	1	27891524
ENSG00000130768	SMPDL3B	1	27935000
ENSG00000158156	XKR8	1	27959588
ENSG00000158161	EYA3	1	27970344
ENSG00000169403	PTAFR	1	28147166
ENSG00000126698	DNAJC8	1	28199456
ENSG00000130770	ATP5IF1	1	28236109
ENSG00000130766	SESN2	1	28259518
ENSG00000130772	MED18	1	28329002
ENSG00000204138	PHACTR4	1	28369582
ENSG00000180198	RCC1	1	28505943
ENSG00000180098	TRNAU1AP	1	28553085
ENSG00000120656	TAF12	1	28587829
ENSG00000188060	RAB42	1	28592200
ENSG00000162419	GMEB1	1	28668778
ENSG00000198492	YTHDF2	1	28736621
ENSG00000116329	OPRD1	1	28812170
ENSG00000159023	EPB41	1	28887091
ENSG00000253304	TMEM200B	1	29119429
ENSG00000116350	SRSF4	1	29147743
ENSG00000116353	MECR	1	29192657
ENSG00000060656	PTPRU	1	29236516
ENSG00000162510	MATN1	1	30711277
ENSG00000162511	LAPTM5	1	30732469
ENSG00000162512	SDC3	1	30869466
ENSG00000134644	PUM1	1	30931506
ENSG00000084628	NKAIN1	1	31179745
ENSG00000060688	SNRNP40	1	31259568
ENSG00000121766	ZCCHC17	1	31296982
ENSG00000121769	FABP3	1	31365253
ENSG00000168528	SERINC2	1	31409565
ENSG00000142910	TINAGL1	1	31576485
ENSG00000121764	HCRTR1	1	31617686
ENSG00000162517	PEF1	1	31629866
ENSG00000084636	COL16A1	1	31652263
ENSG00000121753	ADGRB2	1	31727117
ENSG00000134668	SPOCD1	1	31790422
ENSG00000184007	PTP4A2	1	31906421
ENSG00000121774	KHDRBS1	1	32013868
ENSG00000121775	TMEM39B	1	32072031
ENSG00000025800	KPNA6	1	32108056
ENSG00000084652	TXLNA	1	32179675
ENSG00000160050	CCDC28B	1	32200595
ENSG00000160051	IQCC	1	32205671
ENSG00000222046	DCDC2B	1	32209089
ENSG00000160055	TMEM234	1	32214472
ENSG00000084623	EIF3I	1	32221077
ENSG00000183615	FAM167B	1	32247222
ENSG00000182866	LCK	1	32251239
ENSG00000116478	HDAC1	1	32292083
ENSG00000175130	MARCKSL1	1	32333839
ENSG00000162526	TSSK3	1	32351521
ENSG00000225828	FAM229A	1	32361270
ENSG00000160058	BSDC1	1	32364633
ENSG00000273274	ZBTB8B	1	32465072
ENSG00000160062	ZBTB8A	1	32539427
ENSG00000176261	ZBTB8OS	1	32600172
ENSG00000162521	RBBP4	1	32651142
ENSG00000162520	SYNC	1	32679906
ENSG00000162522	KIAA1522	1	32741830
ENSG00000134684	YARS1	1	32775237
ENSG00000116497	S100PBP	1	32816767
ENSG00000160097	FNDC5	1	32862268
ENSG00000121905	HPCA	1	32885994
ENSG00000121900	TMEM54	1	32894594
ENSG00000116514	RNF19B	1	32936445
ENSG00000004455	AK2	1	33007940
ENSG00000142920	AZIN2	1	33081104
ENSG00000116525	TRIM62	1	33145399
ENSG00000160094	ZNF362	1	33256492
ENSG00000184389	A3GALT2	1	33306766
ENSG00000134686	PHC2	1	33323623
ENSG00000121903	ZSCAN20	1	33472645
ENSG00000121904	CSMD2	1	33513998
ENSG00000176256	HMGB4	1	33860475
ENSG00000142698	C1orf94	1	34166883
ENSG00000163866	SMIM12	1	34712737
ENSG00000189280	GJB5	1	34755047
ENSG00000189433	GJB4	1	34759740
ENSG00000188910	GJB3	1	34781214
ENSG00000187513	GJA4	1	34792999
ENSG00000116544	DLGAP3	1	34865436
ENSG00000243749	TMEM35B	1	34981535
ENSG00000163867	ZMYM6	1	34986165
ENSG00000197056	ZMYM1	1	35032172
ENSG00000116560	SFPQ	1	35176378
ENSG00000146463	ZMYM4	1	35268709
ENSG00000142687	KIAA0319L	1	35433492
ENSG00000020129	NCDN	1	35557473
ENSG00000116819	TFAP2E	1	35573314
ENSG00000126067	PSMB2	1	35599541
ENSG00000142686	C1orf216	1	35713877
ENSG00000092853	CLSPN	1	35720218
ENSG00000134698	AGO4	1	35808016
ENSG00000092847	AGO1	1	35869808
ENSG00000126070	AGO3	1	35930718
ENSG00000092850	TEKT2	1	36084094
ENSG00000116863	ADPRS	1	36088892
ENSG00000171812	COL8A2	1	36095239
ENSG00000054116	TRAPPC3	1	36136570
ENSG00000116871	MAP7D1	1	36155579
ENSG00000054118	THRAP3	1	36224432
ENSG00000214193	SH3D21	1	36306368
ENSG00000142694	EVA1B	1	36322030
ENSG00000196182	STK40	1	36339624
ENSG00000181817	LSM10	1	36391238
ENSG00000116885	OSCP1	1	36415827
ENSG00000116898	MRPS15	1	36455718
ENSG00000119535	CSF3R	1	36466043
ENSG00000163873	GRIK3	1	36795527
ENSG00000163874	ZC3H12A	1	37474580
ENSG00000163875	MEAF6	1	37489993
ENSG00000163877	SNIP1	1	37534449
ENSG00000163879	DNALI1	1	37556919
ENSG00000134697	GNL2	1	37566816
ENSG00000169218	RSPO1	1	37611350
ENSG00000116922	C1orf109	1	37681570
ENSG00000134690	CDCA8	1	37692481
ENSG00000183317	EPHA10	1	37713880
ENSG00000185090	MANEAL	1	37793847
ENSG00000196449	YRDC	1	37802945
ENSG00000197982	C1orf122	1	37806979
ENSG00000188786	MTF1	1	37809574
ENSG00000204084	INPP5B	1	37860697
ENSG00000183431	SF3A3	1	37956975
ENSG00000183386	FHL3	1	37996770
ENSG00000183520	UTP11	1	38009258
ENSG00000185668	POU3F1	1	38043829
ENSG00000116954	RRAGC	1	38838198
ENSG00000214114	MYCBP	1	38862493
ENSG00000131233	GJA9	1	38874069
ENSG00000158315	RHBDL2	1	38885807
ENSG00000174574	AKIRIN1	1	38991276
ENSG00000168653	NDUFS5	1	39026318
ENSG00000127603	MACF1	1	39081316
ENSG00000183682	BMP8A	1	39491636
ENSG00000090621	PABPC4	1	39560709
ENSG00000163909	HEYL	1	39623435
ENSG00000116981	NT5C1A	1	39651229
ENSG00000116983	HPCAL4	1	39678648
ENSG00000084072	PPIE	1	39692182
ENSG00000116985	BMP8B	1	39757182
ENSG00000198754	OXCT2	1	39769523
ENSG00000043514	TRIT1	1	39838110
ENSG00000116990	MYCL	1	39895426
ENSG00000168389	MFSD2A	1	39955112
ENSG00000131236	CAP1	1	40040233
ENSG00000131238	PPT1	1	40072710
ENSG00000117000	RLF	1	40161387
ENSG00000188800	TMCO2	1	40245947
ENSG00000084073	ZMPSTE24	1	40258041
ENSG00000049089	COL9A2	1	40300489
ENSG00000084070	SMAP2	1	40344850
ENSG00000187801	ZFP69B	1	40450102
ENSG00000187815	ZFP69	1	40477290
ENSG00000164002	EXO5	1	40508741
ENSG00000117010	ZNF684	1	40531573
ENSG00000117016	RIMS3	1	40620680
ENSG00000066136	NFYC	1	40691648
ENSG00000117013	KCNQ4	1	40783787
ENSG00000179862	CITED4	1	40861054
ENSG00000171793	CTPS1	1	40979688
ENSG00000171790	SLFNL1	1	41015589
ENSG00000010803	SCMH1	1	41027200
ENSG00000204060	FOXO6	1	41361922
ENSG00000127129	EDN2	1	41478775
ENSG00000127124	HIVEP3	1	41506365
ENSG00000044012	GUCA2B	1	42153410
ENSG00000197273	GUCA2A	1	42162690
ENSG00000198815	FOXJ3	1	42176539
ENSG00000177181	RIMKLA	1	42380792
ENSG00000066185	ZMYND12	1	42430329
ENSG00000127125	PPCS	1	42456117
ENSG00000186409	CCDC30	1	42463221
ENSG00000171960	PPIH	1	42658335
ENSG00000065978	YBX1	1	42682418
ENSG00000164007	CLDN19	1	42733093
ENSG00000117385	P3H1	1	42746335
ENSG00000164008	C1orf50	1	42767245
ENSG00000274386	TMEM269	1	42784991
ENSG00000177868	SVBP	1	42807052
ENSG00000164010	ERMAP	1	42817122
ENSG00000164011	ZNF691	1	42846573
ENSG00000117394	SLC2A1	1	42925353
ENSG00000186973	FAM183A	1	43145153
ENSG00000117395	EBNA1BP2	1	43164175
ENSG00000243710	CFAP57	1	43172330
ENSG00000179178	TMEM125	1	43269983
ENSG00000253313	C1orf210	1	43281877
ENSG00000066056	TIE1	1	43300982
ENSG00000117400	MPL	1	43337818
ENSG00000117399	CDC20	1	43358981
ENSG00000066322	ELOVL1	1	43363398
ENSG00000159479	MED8	1	43383917
ENSG00000198198	SZT2	1	43389882
ENSG00000178922	HYI	1	43450989
ENSG00000142949	PTPRF	1	43525187
ENSG00000066135	KDM4A	1	43650149
ENSG00000126091	ST3GAL3	1	43705824
ENSG00000117407	ARTN	1	43933320
ENSG00000117408	IPO13	1	43946950
ENSG00000132768	DPH2	1	43970000
ENSG00000117410	ATP6V0B	1	43974487
ENSG00000117411	B4GALT2	1	43978943
ENSG00000159214	CCDC24	1	43991359
ENSG00000196517	SLC6A9	1	43991500
ENSG00000171872	KLF17	1	44118821
ENSG00000283039	KLF18	1	44137821
ENSG00000178028	DMAP1	1	44213455
ENSG00000117419	ERI3	1	44221070
ENSG00000187147	RNF220	1	44405194
ENSG00000126106	TMEM53	1	44635238
ENSG00000198520	ARMH1	1	44674692
ENSG00000142945	KIF2C	1	44739818
ENSG00000142937	RPS8	1	44775251
ENSG00000142959	BEST4	1	44783585
ENSG00000173846	PLK3	1	44800377
ENSG00000188396	DYNLT4	1	44805893
ENSG00000222009	BTBD19	1	44808482
ENSG00000117425	PTCH2	1	44819844
ENSG00000070785	EIF2B3	1	44850522
ENSG00000126107	HECTD3	1	45002540
ENSG00000126088	UROD	1	45010950
ENSG00000162415	ZSWIM5	1	45016399
ENSG00000186603	HPDL	1	45326895
ENSG00000132781	MUTYH	1	45329163
ENSG00000132773	TOE1	1	45340052
ENSG00000070759	TESK2	1	45343883
ENSG00000280670	CCDC163	1	45493866
ENSG00000132763	MMACHC	1	45500300
ENSG00000117450	PRDX1	1	45510914
ENSG00000117448	AKR1A1	1	45550543
ENSG00000132780	NASP	1	45583846
ENSG00000159588	CCDC17	1	45620044
ENSG00000159592	GPBP1L1	1	45627304
ENSG00000159596	TMEM69	1	45688181
ENSG00000197429	IPP	1	45694324
ENSG00000086015	MAST2	1	45786987
ENSG00000117461	PIK3R3	1	46040140
ENSG00000278139	P3R3URF-PIK3R3	1	46043661
ENSG00000117472	TSPAN1	1	46175073
ENSG00000250719	P3R3URF	1	46175486
ENSG00000085998	POMGNT1	1	46188683
ENSG00000171357	LURAP1	1	46203334
ENSG00000085999	RAD54L	1	46246461
ENSG00000132128	LRRC41	1	46261196
ENSG00000173660	UQCRH	1	46303698
ENSG00000117481	NSUN4	1	46340789
ENSG00000117480	FAAH	1	46394317
ENSG00000197587	DMBX1	1	46489836
ENSG00000282881	TMEM275	1	46532166
ENSG00000162456	KNCN	1	46545641
ENSG00000079277	MKNK1	1	46557407
ENSG00000142961	MOB3C	1	46607719
ENSG00000123472	ATPAF1	1	46632737
ENSG00000186118	TEX38	1	46668855
ENSG00000159658	EFCAB14	1	46674659
ENSG00000142973	CYP4B1	1	46757838
ENSG00000187048	CYP4A11	1	46929177
ENSG00000186377	CYP4X1	1	47023669
ENSG00000186160	CYP4Z1	1	47067231
ENSG00000162365	CYP4A22	1	47137435
ENSG00000162366	PDZK1IP1	1	47183582
ENSG00000162367	TAL1	1	47216290
ENSG00000123473	STIL	1	47250139
ENSG00000162368	CMPK1	1	47333790
ENSG00000186790	FOXE3	1	47416285
ENSG00000186564	FOXD2	1	47438044
ENSG00000269113	TRABD2B	1	47760528
ENSG00000117834	SLC5A9	1	48222685
ENSG00000132122	SPATA6	1	48295373
ENSG00000186094	AGBL4	1	48532854
ENSG00000162373	BEND5	1	48727519
ENSG00000162374	ELAVL4	1	50024029
ENSG00000142700	DMRTA2	1	50417550
ENSG00000185104	FAF1	1	50437028
ENSG00000123080	CDKN2C	1	50960745
