Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)
ENSMUSG00000102907	Gm38264	1	5473770
ENSMUSG00000025905	Oprk1	1	5658689
ENSMUSG00000103936	Gm36965	1	5688060
ENSMUSG00000103519	Gm37429	1	5913097
ENSMUSG00000033774	Npbwr1	1	5983926
ENSMUSG00000103090	Gm19214	1	6119187
ENSMUSG00000025907	Rb1cc1	1	6276421
ENSMUSG00000090031	4732440D04Rik	1	6280090
ENSMUSG00000087247	Alkal1	1	6429442
ENSMUSG00000103355	Gm2147	1	6450618
ENSMUSG00000102706	Gm7417	1	6452858
ENSMUSG00000103845	Gm19026	1	6499879
ENSMUSG00000033740	St18	1	6557455
ENSMUSG00000103329	Gm42492	1	6931461
ENSMUSG00000104385	Gm7449	1	6980784
ENSMUSG00000102135	Gm37108	1	6986783
ENSMUSG00000103282	Gm37275	1	6999983
ENSMUSG00000102534	Gm37225	1	7068441
ENSMUSG00000102213	Gm37489	1	7083986
ENSMUSG00000103629	Gm5694	1	7106139
ENSMUSG00000051285	Pcmtd1	1	7159144
ENSMUSG00000098201	Gm26983	1	7206423
ENSMUSG00000103509	Gm38372	1	7218334
ENSMUSG00000048538	Gm9826	1	7247963
ENSMUSG00000103709	Nras-ps2	1	7259966
ENSMUSG00000077244	Gm23274	1	7336027
ENSMUSG00000102768	Gm19002	1	7385675
ENSMUSG00000097797	Gm26901	1	7419630
ENSMUSG00000103498	Gm18984	1	7480903
ENSMUSG00000103067	Gm30414	1	7568192
ENSMUSG00000102320	Gm37791	1	7661870
ENSMUSG00000104226	Gm7470	1	7667603
ENSMUSG00000103903	Rps2-ps2	1	7734305
ENSMUSG00000103557	Gm38216	1	7799085
ENSMUSG00000025909	Sntg1	1	8431699
ENSMUSG00000102647	Gm38024	1	8521184
ENSMUSG00000086235	Gm16284	1	8538650
ENSMUSG00000102253	Gm38259	1	8598004
ENSMUSG00000103884	Gm37005	1	8713920
ENSMUSG00000084353	Gm15452	1	8862147
ENSMUSG00000103933	Gm36964	1	8886066
ENSMUSG00000086195	Gm6152	1	8926152
ENSMUSG00000104504	Gm7445	1	8926987
ENSMUSG00000066693	Gm7493	1	9033220
ENSMUSG00000102316	Gm37629	1	9261292
ENSMUSG00000103819	Gm38008	1	9328842
ENSMUSG00000102871	Gm37143	1	9357147
ENSMUSG00000101571	Gm6187	1	9466998
ENSMUSG00000104428	Gm18299	1	9509966
ENSMUSG00000102272	Gm7512	1	9520804
ENSMUSG00000065625	Gm24765	1	9528895
ENSMUSG00000103411	Gm18300	1	9569563
ENSMUSG00000061024	Rrs1	1	9615633
ENSMUSG00000025911	Adhfe1	1	9618173
ENSMUSG00000079671	2610203C22Rik	1	9631057
ENSMUSG00000081441	Gm6161	1	9644773
ENSMUSG00000067879	Vxn	1	9671424
ENSMUSG00000099827	Gm29520	1	9709480
ENSMUSG00000025912	Mybl1	1	9737640
ENSMUSG00000045210	Vcpip1	1	9788847
ENSMUSG00000097893	1700034P13Rik	1	9817873
ENSMUSG00000025915	Sgk3	1	9868332
ENSMUSG00000046334	Gm6195	1	9872422
ENSMUSG00002075801	U6	1	9904723
ENSMUSG00000046101	Mcmdc2	1	9978863
ENSMUSG00000098234	Snhg6	1	10012184
ENSMUSG00000093178	Snord87	1	10012688
ENSMUSG00000099032	Tcf24	1	10030388
ENSMUSG00000104025	E330040D14Rik	1	10037539
ENSMUSG00000025916	Ppp1r42	1	10038849
ENSMUSG00000087199	Gm15818	1	10052612
ENSMUSG00000119658	Gm24674	1	10080039
ENSMUSG00000025917	Cops5	1	10094826
ENSMUSG00000056763	Cspp1	1	10108212
ENSMUSG00000102356	1700047N06Rik	1	10127250
ENSMUSG00000067851	Arfgef1	1	10207796
ENSMUSG00002076532	7SK	1	10236764
ENSMUSG00000102556	Gm37569	1	10267306
ENSMUSG00000042501	Cpa6	1	10394945
ENSMUSG00000103810	Gm38005	1	10519470
ENSMUSG00000083422	Gm15604	1	10624323
ENSMUSG00000119312	Gm25253	1	10625779
ENSMUSG00000081417	Gm15603	1	10765348
ENSMUSG00000103448	Gm37133	1	10852681
ENSMUSG00000100212	Gm5522	1	10875505
ENSMUSG00000100648	Gm28659	1	10938912
ENSMUSG00002076499	SNORA66	1	10991894
ENSMUSG00000048960	Prex2	1	11063689
ENSMUSG00000077318	Gm24173	1	11204335
ENSMUSG00000101827	Gm28686	1	11293790
ENSMUSG00000103494	Gm37410	1	11434150
ENSMUSG00000057715	A830018L16Rik	1	11484329
ENSMUSG00000103825	Gm38178	1	11487142
ENSMUSG00000099845	Gm29273	1	11678363
ENSMUSG00000103561	Gm38069	1	11774431
ENSMUSG00000101610	Gm7560	1	12191184
ENSMUSG00000118923	Gm22633	1	12445160
ENSMUSG00000098555	Mir6341	1	12496210
ENSMUSG00000097628	Gm2383	1	12635801
ENSMUSG00000098163	Gm6216	1	12726091
ENSMUSG00000097171	Gm17644	1	12737787
ENSMUSG00000101314	Gm29663	1	12740548
ENSMUSG00000016918	Sulf1	1	12762501
ENSMUSG00000025938	Slco5a1	1	12936773
ENSMUSG00000104518	Gm37162	1	13129625
ENSMUSG00000069620	Gm5250	1	13132249
ENSMUSG00000099498	Gm29283	1	13139062
ENSMUSG00000042414	Prdm14	1	13183681
ENSMUSG00000005886	Ncoa2	1	13209329
ENSMUSG00000103506	Gm38376	1	13247686
ENSMUSG00000103495	Gm37409	1	13305033
ENSMUSG00000102639	Gm38223	1	13360036
ENSMUSG00000104170	Gm37702	1	13367260
ENSMUSG00000087782	Gm23169	1	13404722
ENSMUSG00000103085	Gm38120	1	13413787
ENSMUSG00000102664	Gm38380	1	13424707
ENSMUSG00000101476	Gm29570	1	13446294
ENSMUSG00000101171	Gm7593	1	13477236
ENSMUSG00000025935	Tram1	1	13634922
ENSMUSG00000025937	Lactb2	1	13693554
ENSMUSG00000102982	Gm38319	1	13711707
ENSMUSG00000067813	Xkr9	1	13738995
ENSMUSG00000077368	Gm26273	1	13844558
ENSMUSG00000097711	Gm5523	1	13856107
ENSMUSG00000102166	Gm36947	1	13917095
ENSMUSG00002075174	7SK	1	14002602
ENSMUSG00000104209	Gm37400	1	14179439
ENSMUSG00000025932	Eya1	1	14239178
ENSMUSG00000102588	Gm37444	1	14325776
ENSMUSG00000054493	Gm9947	1	14823161
ENSMUSG00000025930	Msc	1	14823570
ENSMUSG00000103492	Gm37412	1	14858869
ENSMUSG00000081201	Smt3h2-ps4	1	14910093
ENSMUSG00000082193	Rpl5-ps1	1	14935296
ENSMUSG00000032769	Trpa1	1	14942872
ENSMUSG00000088159	Gm26345	1	15089264
ENSMUSG00000073737	Gm10566	1	15339026
ENSMUSG00000092083	Kcnb2	1	15357478
ENSMUSG00000102937	Gm38116	1	15434526
ENSMUSG00000104149	Gm37138	1	15626473
ENSMUSG00000088829	Gm25227	1	15756159
ENSMUSG00000077377	Gm25168	1	15828056
ENSMUSG00000101652	Gm6060	1	15830346
ENSMUSG00000100814	Gm28669	1	15830985
ENSMUSG00000025925	Terf1	1	15875870
ENSMUSG00000104379	Gm37509	1	15923555
ENSMUSG00000032719	Sbspon	1	15924086
ENSMUSG00002076565	7SK	1	15949754
ENSMUSG00000100652	Gm7634	1	16123559
ENSMUSG00000067795	4930444P10Rik	1	16136203
ENSMUSG00000043716	Rpl7	1	16171519
ENSMUSG00000025921	Rdh10	1	16175998
ENSMUSG00000104165	Gm38249	1	16278421
ENSMUSG00000100868	Gm28095	1	16298730
ENSMUSG00000025920	Stau2	1	16298898
ENSMUSG00000089982	Gm7568	1	16323816
ENSMUSG00000025939	Ube2w	1	16611014
ENSMUSG00000102457	Gm38342	1	16688784
ENSMUSG00000079658	Eloc	1	16711949
ENSMUSG00000097744	D030040B21Rik	1	16727776
ENSMUSG00000100959	Idi1-ps5	1	16733204
ENSMUSG00000025940	Tmem70	1	16735431
ENSMUSG00000025779	Ly96	1	16758275
ENSMUSG00000100093	Gm29649	1	16828429
ENSMUSG00000091020	Gm5828	1	16838503
ENSMUSG00000101640	Gm28376	1	16968409
ENSMUSG00000104133	4921511E07Rik	1	17001194
ENSMUSG00000042686	Jph1	1	17034784
ENSMUSG00000100110	Gm28783	1	17194971
ENSMUSG00000025777	Gdap1	1	17215586
ENSMUSG00000099899	Gm28784	1	17238627
ENSMUSG00000100272	Gm28785	1	17320338
ENSMUSG00000100398	Gm5251	1	17465182
ENSMUSG00000101589	Rbm6-ps1	1	17467636
ENSMUSG00000102048	Gm6075	1	17499267
ENSMUSG00000089534	Gm25166	1	17590225
ENSMUSG00000067780	Pi15	1	17672125
ENSMUSG00000100053	Gm28154	1	17685308
ENSMUSG00000085125	Gm16070	1	17746251
ENSMUSG00000025776	Crispld1	1	17797269
ENSMUSG00000099895	Gm28153	1	17812139
ENSMUSG00000100554	Gm7690	1	18017265
ENSMUSG00000099473	Gm18775	1	18063234
ENSMUSG00000099591	Gm17969	1	18064037
ENSMUSG00000109887	Gm28756	1	18064686
ENSMUSG00000102001	Gm28755	1	18076185
ENSMUSG00000101717	Gm45784	1	18118324
ENSMUSG00000025774	Crisp4	1	18185415
ENSMUSG00000070977	Defb44-ps	1	18280277
ENSMUSG00000073735	Defb18	1	18306697
ENSMUSG00000067773	Defb41	1	18321204
ENSMUSG00000101685	Gm17837	1	18332619
ENSMUSG00000101306	Gm5252	1	18778652
ENSMUSG00000088800	Gm24075	1	19039986
ENSMUSG00000101644	Gm28343	1	19107490
ENSMUSG00000099433	Gm28344	1	19133081
ENSMUSG00000089787	Gm15825	1	19133524
ENSMUSG00000042596	Tfap2d	1	19173246
ENSMUSG00000100720	Gm10075	1	19223646
ENSMUSG00000025927	Tfap2b	1	19279138
ENSMUSG00000100538	Gm28340	1	19312949
ENSMUSG00000101117	Gm28341	1	19390450
ENSMUSG00000100204	Gm4849	1	19401163
ENSMUSG00002076883	SNORD29	1	19584079
ENSMUSG00000102597	Gm38382	1	19684493
ENSMUSG00000043760	Pkhd1	1	20128003
ENSMUSG00000104095	Gm37315	1	20132294
ENSMUSG00000089914	4930486I03Rik	1	20426676
ENSMUSG00000090142	Gm15795	1	20514482
ENSMUSG00000070175	Gm24162	1	20515035
ENSMUSG00000099906	Lincmd1	1	20740106
ENSMUSG00000065559	Mir206	1	20749234
ENSMUSG00000065480	Mir133b	1	20752993
ENSMUSG00000025929	Il17a	1	20801129
ENSMUSG00000041872	Il17f	1	20847370
ENSMUSG00000041859	Mcm3	1	20873192
ENSMUSG00000099714	Gm20587	1	20891555
ENSMUSG00000102121	Gm28065	1	20906885
ENSMUSG00000088858	Gm24723	1	20912759
ENSMUSG00000097934	6720483E21Rik	1	20958874
ENSMUSG00000025931	Paqr8	1	20960830
ENSMUSG00000077314	Gm24171	1	20985634
ENSMUSG00000100929	Gm28064	1	21015935
ENSMUSG00000041809	Efhc1	1	21021850
ENSMUSG00000041779	Tram2	1	21066523
ENSMUSG00000099971	Gm28287	1	21150338
ENSMUSG00000100819	Gm2693	1	21249212
ENSMUSG00000025933	Tmem14a	1	21288799
ENSMUSG00000102633	Gm38224	1	21304946
ENSMUSG00000025934	Gsta3	1	21310813
ENSMUSG00000099343	Gm28836	1	21320583
ENSMUSG00000096375	Gm7094	1	21342627
ENSMUSG00000025936	Gm4956	1	21355470
ENSMUSG00000093963	Gm21909	1	21382741
ENSMUSG00000067750	Khdc1a	1	21419865
ENSMUSG00000086194	Gm16329	1	21424229
ENSMUSG00000094436	Gm16327	1	21435027
ENSMUSG00000041722	Khdc1c	1	21438555
ENSMUSG00000085507	Gm2709	1	21442894
ENSMUSG00000094926	Gm16533	1	21449779
ENSMUSG00000085079	Khdc1b	1	21453780
ENSMUSG00000085679	Gm16328	1	21461130
ENSMUSG00000028033	Kcnq5	1	21468627
ENSMUSG00000104138	Gm36949	1	21524915
ENSMUSG00000082935	Gm7658	1	21582157
ENSMUSG00000103748	Gm38243	1	21909172
ENSMUSG00000099692	Gm5696	1	22100288
ENSMUSG00000100418	Gm28239	1	22308073
ENSMUSG00000041670	Rims1	1	22356475
ENSMUSG00000097642	Gm26866	1	22779845
ENSMUSG00000101468	Gm7761	1	23023944
ENSMUSG00000101227	Gm29506	1	23087376
ENSMUSG00000073730	Ppp1r14bl	1	23139554
ENSMUSG00000089553	Gm24176	1	23284292
ENSMUSG00000102766	Gm6420	1	23294766
ENSMUSG00000065405	Mir30a	1	23311350
ENSMUSG00000097970	Gm27028	1	23330618
ENSMUSG00000065567	Mir30c-2	1	23330782
ENSMUSG00000100775	Gm29107	1	23332810
ENSMUSG00000101226	Gm20954	1	23385037
ENSMUSG00000026158	Ogfrl1	1	23405505
ENSMUSG00000097920	Gm7784	1	23518620
ENSMUSG00000099503	Gm28822	1	23613668
ENSMUSG00000026156	B3gat2	1	23800834
ENSMUSG00000026155	Smap1	1	23883927
ENSMUSG00000026154	Sdhaf4	1	24035020
ENSMUSG00000102495	Gm26524	1	24044586
ENSMUSG00000026153	Fam135a	1	24050174
ENSMUSG00000102398	Gm37580	1	24139706
ENSMUSG00000097670	Gm26607	1	24164356
ENSMUSG00000026147	Col9a1	1	24216691
ENSMUSG00000026141	Col19a1	1	24300971
ENSMUSG00000077463	Gm26418	1	24587922
ENSMUSG00000099997	Tubb4b-ps2	1	24633168
ENSMUSG00000100131	Gm28439	1	24650616
ENSMUSG00000067736	Gm10222	1	24651488
ENSMUSG00000101939	Gm28438	1	24651856
ENSMUSG00000101111	Gm28437	1	24652270
ENSMUSG00000100862	Gm10925	1	24653055
ENSMUSG00000102070	Gm28661	1	24653966
ENSMUSG00000101249	Gm29216	1	24654787
ENSMUSG00000073725	Lmbrd1	1	24717711
ENSMUSG00000100808	Gm28594	1	24949542
ENSMUSG00000100483	Gm28237	1	25002290
ENSMUSG00000100450	Gm9443	1	25051022
ENSMUSG00000099392	Gm29414	1	25065662
ENSMUSG00000033569	Adgrb3	1	25106557
ENSMUSG00000080849	Gm15702	1	25262811
ENSMUSG00000104257	Gm20172	1	25315485
ENSMUSG00000119153	Gm22260	1	25318526
ENSMUSG00000102296	Gm37543	1	25323299
ENSMUSG00000103209	Gm37331	1	25335593
ENSMUSG00000104027	Gm37211	1	25353357
ENSMUSG00000102407	Gm37862	1	25364947
ENSMUSG00000103214	Gm38286	1	25385059
ENSMUSG00000104100	Gm37880	1	25401645
ENSMUSG00000084740	Gm25294	1	25490152
ENSMUSG00000103889	Gm37011	1	25647331
ENSMUSG00000101301	Gm29214	1	25654027
ENSMUSG00000104221	Gm37051	1	25659319
ENSMUSG00000102250	Gm38260	1	25711326
ENSMUSG00000102317	Gm37628	1	25725143
ENSMUSG00000103563	8030445P17Rik	1	25761119
ENSMUSG00000102465	Gm38198	1	25774470
ENSMUSG00000102659	Gm37077	1	25794424
ENSMUSG00000103924	Gm37895	1	25814838
ENSMUSG00000104132	Gm36952	1	25836362
ENSMUSG00000102747	Gm37602	1	25843178
ENSMUSG00000102386	2900022M07Rik	1	25848037
ENSMUSG00000103004	2900002M20Rik	1	25863471
ENSMUSG00000104516	Gm9884	1	25869738
ENSMUSG00000101618	Gm18443	1	26035685
ENSMUSG00000099458	Gm19123	1	26505317
ENSMUSG00000088111	Gm24064	1	26605914
ENSMUSG00000073722	4931408C20Rik	1	26720895
ENSMUSG00000119695	n-R5s209	1	26998184
ENSMUSG00000100310	Gm19641	1	27375433
ENSMUSG00000101514	Gm5524	1	27923127
ENSMUSG00000101033	Gm18776	1	27939500
ENSMUSG00000101372	Gm19028	1	28028991
ENSMUSG00000103241	Gm38089	1	28608999
ENSMUSG00000086240	Gm7846	1	28619580
ENSMUSG00000048411	Gm597	1	28815198
ENSMUSG00000081557	Gm5697	1	28839321
ENSMUSG00000058590	Gm6462	1	28977117
ENSMUSG00000101235	Gm18033	1	29258781
ENSMUSG00002075209	Y_RNA	1	29320045
ENSMUSG00000099257	Mir6342	1	29460569
ENSMUSG00000099492	Gm5525	1	29523685
ENSMUSG00000118548	Gm53035	1	29852235
ENSMUSG00000101726	Gm7858	1	29969175
ENSMUSG00000053185	Gm9898	1	30757641
ENSMUSG00000100261	Gm6473	1	30808768
ENSMUSG00000101180	Gm2914	1	30833629
ENSMUSG00000048874	Phf3	1	30841420
ENSMUSG00000103783	Gm37522	1	30872629
ENSMUSG00000104315	Gm37906	1	30904585
ENSMUSG00000026064	Ptp4a1	1	30979383
ENSMUSG00000117310	Ptp4a1	1	30979383
ENSMUSG00000117091	Gm5698	1	31016324
ENSMUSG00000086726	Gm9458	1	31025306
ENSMUSG00000086727	4931428L18Rik	1	31036923
ENSMUSG00000100237	Gm28644	1	31081000
ENSMUSG00002076113	5S_rRNA	1	31161806
ENSMUSG00000100910	Gm29128	1	31175107
ENSMUSG00000099796	Gm7893	1	31203630
ENSMUSG00000050217	Lgsn	1	31215482
ENSMUSG00000026063	Dnaaf6	1	31261919
ENSMUSG00000077664	Gm26145	1	31298674
ENSMUSG00000100205	Gm4850	1	31306407
ENSMUSG00000100592	Gm28645	1	31313973
ENSMUSG00000094215	Gm6489	1	31326026
ENSMUSG00000101093	Eef1a1-ps2	1	31598621
ENSMUSG00000070960	Gm19680	1	31654230
ENSMUSG00000088620	Gm23032	1	31695713
ENSMUSG00000082159	Gm7910	1	31775138
ENSMUSG00000026058	Khdrbs2	1	32211795
ENSMUSG00000064688	Gm25814	1	32252214
ENSMUSG00000103482	Gm37999	1	32512838
ENSMUSG00000104498	Gm37110	1	32524396
ENSMUSG00000104313	Gm37911	1	32535525
ENSMUSG00000102865	Gm9839	1	32558644
ENSMUSG00000102321	Gm37792	1	32578109
ENSMUSG00000091318	Gm5415	1	32582767
ENSMUSG00000089489	Gm24732	1	32607440
ENSMUSG00000104433	Gm37426	1	32749260
ENSMUSG00002076392	7SK	1	32765720
ENSMUSG00000102926	Gm37151	1	33006565
ENSMUSG00000100497	Gm28624	1	33067241
ENSMUSG00000102917	Gm37724	1	33104211
ENSMUSG00000100481	Gm7114	1	33139988
ENSMUSG00000100590	Gm4785	1	33147986
ENSMUSG00000088750	Gm24901	1	33231074
ENSMUSG00000104230	Gm37591	1	33251855
ENSMUSG00000101754	Gm2987	1	33275020
ENSMUSG00000065223	Gm25792	1	33332757
ENSMUSG00000100318	Gm18799	1	33354751
ENSMUSG00000101612	Gm7933	1	33410412
ENSMUSG00000065260	Gm23453	1	33461814
ENSMUSG00000026134	Prim2	1	33492891
ENSMUSG00000101682	Gm29228	1	33521182
ENSMUSG00000102714	Gm37618	1	33652839
ENSMUSG00000102093	Gm17813	1	33696862
ENSMUSG00000103746	1700001G17Rik	1	33708905
ENSMUSG00000102198	Gm38173	1	33710996
ENSMUSG00000004768	Rab23	1	33758968
ENSMUSG00000042215	Bag2	1	33784565
ENSMUSG00000103072	Gm37905	1	33787088
ENSMUSG00000042197	Zfp451	1	33800626
ENSMUSG00000081402	Gm15455	1	33875205
ENSMUSG00000042182	Bend6	1	33891133
ENSMUSG00000104416	Gm37067	1	33928571
ENSMUSG00000026131	Dst	1	33947306
ENSMUSG00000103596	Gm37354	1	33961536
ENSMUSG00000099382	Gm28631	1	34002433
ENSMUSG00000084506	Gm23792	1	34020491
ENSMUSG00000103364	Gm38157	1	34071181
ENSMUSG00000105982	Mir6896	1	34156440
ENSMUSG00000096992	Gm26788	1	34204937
ENSMUSG00000103001	A930005N03Rik	1	34308963
ENSMUSG00000104397	Gm37958	1	34368514
ENSMUSG00000102839	Gm37385	1	34389856
ENSMUSG00000101206	Gm5266	1	34406452
ENSMUSG00000101462	Gm3052	1	34454131
ENSMUSG00000102336	Gm37233	1	34466083
ENSMUSG00000092852	Mir5103	1	34472202
ENSMUSG00000042111	Ccdc115	1	34475751
ENSMUSG00000101711	Gm28306	1	34478592
ENSMUSG00000026127	Imp4	1	34478932
ENSMUSG00000026126	Ptpn18	1	34498843
ENSMUSG00000100280	Gm28417	1	34507915
ENSMUSG00000101223	4930568A12Rik	1	34516248
ENSMUSG00000026125	Prss39	1	34537491
ENSMUSG00000101116	Gm28416	1	34562797
ENSMUSG00000026124	Cfc1	1	34574729
ENSMUSG00000101803	Gm28419	1	34577167
ENSMUSG00000037529	Prss40	1	34583049
ENSMUSG00000045815	1700101I19Rik	1	34618283
ENSMUSG00000045174	Amer3	1	34618738
ENSMUSG00000100524	Gm28418	1	34646378
ENSMUSG00000102499	Gm36984	1	34649653
ENSMUSG00000103521	Gm29730	1	34649989
ENSMUSG00000104098	AA619741	1	34674625
ENSMUSG00000037509	Arhgef4	1	34717269
ENSMUSG00000102537	Gm37224	1	34791856
ENSMUSG00000102612	Gm37845	1	34792204
ENSMUSG00000118272	SMIM39	1	34840875
ENSMUSG00000104002	Gm38336	1	34848441
ENSMUSG00000037503	Fam168b	1	34852300
ENSMUSG00000104358	Gm37127	1	34862606
ENSMUSG00000026123	Plekhb2	1	34889057
ENSMUSG00000103716	Gm19430	1	34967590
ENSMUSG00000103548	Gm37670	1	35008708
ENSMUSG00000103760	Gm8009	1	35009146
ENSMUSG00000103997	Gm38027	1	35024737
ENSMUSG00000077231	Gm25096	1	35218037
ENSMUSG00000104417	Gm37068	1	35664687
ENSMUSG00000064601	Gm25634	1	35800683
ENSMUSG00000101714	Gm28415	1	35846055
ENSMUSG00000102531	1110002O04Rik	1	35918926
ENSMUSG00000103096	Gm8022	1	35998000
ENSMUSG00000102279	Gm37146	1	36021041
ENSMUSG00000103708	Gm33222	1	36042066
ENSMUSG00000104201	4930535G08Rik	1	36050153
ENSMUSG00000102434	Gm38049	1	36068728
ENSMUSG00000045216	Hs6st1	1	36107481
ENSMUSG00000104523	Gm37335	1	36144465
ENSMUSG00000102202	Gm33280	1	36171123
ENSMUSG00000037470	Uggt1	1	36179108
ENSMUSG00000098752	Mir6897	1	36183333
ENSMUSG00000047180	Neurl3	1	36303678
ENSMUSG00000037447	Arid5a	1	36346814
ENSMUSG00000102762	4930403P22Rik	1	36371789
ENSMUSG00000010453	Kansl3	1	36374811
ENSMUSG00000098680	Mir6898	1	36387763
ENSMUSG00000037432	Fer1l5	1	36411372
ENSMUSG00000001143	Lman2l	1	36458952
ENSMUSG00000037408	Cnnm4	1	36510701
ENSMUSG00000104316	Gm37909	1	36513033
ENSMUSG00000001138	Cnnm3	1	36550948
ENSMUSG00000102845	Gm38033	1	36566615
ENSMUSG00000067653	Ankrd23	1	36569269
ENSMUSG00000109510	Gm42417	1	36569274
ENSMUSG00000079610	Ankrd39	1	36576588
ENSMUSG00000026121	Sema4c	1	36587720
ENSMUSG00000087589	D430040D24Rik	1	36596782
ENSMUSG00000046337	Fam178b	1	36601773
ENSMUSG00000089906	Gm6428	1	36640883
ENSMUSG00000061518	Cox5b	1	36730530
ENSMUSG00000037351	Actr1b	1	36737195
ENSMUSG00000102416	4933424G06Rik	1	36749230
ENSMUSG00000104237	Gm33533	1	36778129
ENSMUSG00000026117	Zap70	1	36800879
ENSMUSG00000097291	Gm18828	1	36803944
ENSMUSG00000026116	Tmem131	1	36831272
ENSMUSG00000103016	Gm37506	1	36910984
ENSMUSG00000102930	Gm38115	1	36952682
ENSMUSG00000103159	F830112A20Rik	1	36961878
ENSMUSG00000080054	Rpl12-ps1	1	36997011
ENSMUSG00000119706	n-R5s210	1	37044520
ENSMUSG00000050122	Vwa3b	1	37065677
ENSMUSG00000103603	Gm37020	1	37171354
ENSMUSG00000026114	Cnga3	1	37253515
ENSMUSG00000102231	1700074A21Rik	1	37338433
ENSMUSG00000026113	Inpp4a	1	37338946
ENSMUSG00000086064	4930439A04Rik	1	37368748
ENSMUSG00000102879	Gm37135	1	37370052
ENSMUSG00000026112	Coa5	1	37456165
ENSMUSG00000026111	Unc50	1	37469220
ENSMUSG00000026110	Mgat4a	1	37478421
ENSMUSG00000103948	4930594C11Rik	1	37524932
ENSMUSG00000087233	Gm43213	1	37526274
ENSMUSG00000026090	Cracdl	1	37650758
ENSMUSG00000089767	4930556I23Rik	1	37653340
ENSMUSG00000104365	4930470B04Rik	1	37699803
ENSMUSG00000102650	Gm19863	1	37733528
ENSMUSG00000060771	Tsga10	1	37793857
ENSMUSG00000097268	Gm26805	1	37904380
ENSMUSG00000037216	Lipt1	1	37910819
ENSMUSG00000026088	Mitd1	1	37913882
ENSMUSG00000026087	Mrpl30	1	37929558
ENSMUSG00000061584	Lyg2	1	37945004
ENSMUSG00000087374	Gm15457	1	37972677
ENSMUSG00000026085	Lyg1	1	37985817
ENSMUSG00002076708	7SK	1	38013048
ENSMUSG00000058407	Txndc9	1	38024270
ENSMUSG00000026083	Eif5b	1	38037091
ENSMUSG00000026082	Rev1	1	38091867
ENSMUSG00000103804	Gm37062	1	38115376
ENSMUSG00000102716	Gm5099	1	38171164
ENSMUSG00000037138	Aff3	1	38216407
ENSMUSG00000085391	Gm16150	1	38274501
ENSMUSG00000085280	Gm16151	1	38346983
ENSMUSG00000087131	Gm16152	1	38424030
ENSMUSG00000102984	Gm34727	1	38526600
ENSMUSG00000102541	Gm38135	1	38761701
ENSMUSG00000103531	2610300A13Rik	1	38806265
ENSMUSG00000048814	Lonrf2	1	38832726
ENSMUSG00000026080	Chst10	1	38902948
ENSMUSG00000103647	Gm37707	1	38923835
ENSMUSG00000102447	Gm6621	1	38947026
ENSMUSG00000067604	Nms	1	38978230
ENSMUSG00000026078	Pdcl3	1	39024689
ENSMUSG00000103046	Gm37309	1	39031759
ENSMUSG00000104188	Gm37821	1	39087729
ENSMUSG00000103182	Gm37091	1	39120333
ENSMUSG00000098833	Mir6349	1	39225977
ENSMUSG00000026077	Npas2	1	39232812
