ScoreType	PositiveMarkers	NegativeMarkers	Reference
Cook & Vanderhyden (2022) Malignant-specific EMP	ACTN4,ANXA3,APLP2,ASPH,ATF3,ATP1A1,ATP1B1,BAMBI,BSG,C19orf33,CA12,CAMK2N1,CCND1,CCT2,CCT5,CD55,CD9,CDH1,CEACAM5,CEBPD,CLDN18,CLDN7,CLTB,COL17A1,CP,CST6,CTSE,CXCL1,DHCR24,DSC2,DSP,DST,EGLN3,EHF,ELF3,ERO1A,ERRFI1,F3,FABP1,FASN,FDPS,FHL2,FLNB,FOLR1,GABRP,GDF15,GOLM1,GPRC5A,H1F0,HEBP2,HILPDA,HIST1H1C,HMGB3,HSPA1B,HSPA5,ITGA2,ITGB4,KLF5,KLK10,KLK6,KRT16,KRT20,KRT23,KTN1,LAMB3,LAMC2,LAPTM4B,LGALS4,LMO7,LPCAT1,LSR,LY6D,MAL2,MGST3,MSLN,MTDH,MUC13,MUC5B,MZT2B,NDRG1,PDIA3,PDIA6,PDZK1IP1,PERP,PHLDA2,PI3,PLA2G16,PPP1R14B,PRSS8,PTPRF,PTTG1IP,QSOX1,RAB11FIP1,RAC1,REG4,RHOB,RHOC,RND3,RPN2,RRBP1,RTN4,SCD,SCEL,SDC4,SDCBP2,SEPP1,SERINC2,SFN,SFTA2,SLC2A1,SPINT1,SPINT2,SQSTM1,SRD5A3,SYNGR2,SYT8,TACSTD2,TFF2,TMBIM1,TMC5,TMEM59,TNFRSF12A,TNFSF10,TRPS1,TSPAN8,TUBA1C,TXNDC17,VEGFA		PMID:34985957
Pai et al (2023) Progenitor exhausted T	XCL1,MS4A4C,ID3,CXCL10,SLAMF6,TCF7,IL7R,TNFSF8,CTLA2A,LTB,CD9,SOCS3,JUN,GPR183,TRAF1,ITGB1,GM8730,EMB,GM10073		PMID:37001526
Pai et al (2023)  CD8+ exhaustion	LAG3,HAVCR2,PDCD1,PTMS,FAM3C,IFNG,AKAP5,CD7,PHLDA1,ENTPD1,SNAP47,TNS3,CXCL13,RDH10,DGKH,KIR2DL4,LYST,MIR155HG,RAB27A,CSF1,CTLA4,TNFRSF9,CD27,CCL3,ITGAE,PAG1,TNFRSF1B,GALNT1,GBP2,MYO7A		PMID:37001526
Pai et al (2023)  CD8 tumor-reactivity	ENTPD1,ITGAE,PDCD1,TNFRSF9,TNFRSF4,CXCL13,MKI67,HAVCR2,LAG3		PMID:37001526
Pai et al (2023) NeoTCR-CD4	CXCL13,HMOX1,ETV7,ADGRG1,PDCD1,ENTPD1,CCDC50,TOX,CD4,TIGIT,TNFRSF18,NMB,MYL6B,AHI1,MAF,IFNG,LAG3,CXCR6,IGFLR1,DUSP4,ACP5,LINC01943,LIMS1,BATF,PCED1B,ITGAL,YPEL2,MAL,PPT1,ELMO1,MIS18BP1,TMEM173,ADI1,SLA,GALM,LBH,SECISBP2L,CTSB,C17orf49,CORO1B		PMID:37001526
Pai et al (2023) Tumor specific	KRT86,RDH10,TYMS,HMOX1,GNG4,CXCL13,AFAP1L2,ACP5,MYO1E,LAYN,TNS3,TNFSF4,AKAP5,HAVCR2,ENTPD1,SLC2A8,AC243829.4,ZBED2,MCM5,CAV1,GOLIM4,TRAV21,VCAM1,PON2,MTSS1,CD38,TRBV11-2,MS4A6A,TOX2,CSF1,GALNT2,FXYD2,PLPP1,LMCD1,MYL6B,LAG3,HLA-DRA,IGFLR1,CCDC50,CD27,KIAA1324,CDKN2A,CD70,ABHD6,CTLA4,PDCD1,GEM,NUSAP1,TOX,CXCR6,NMB,HOPX,CLIC3,INPP5F,SNAP47,TSHZ2,HLA-DMA,SIT1,HLA-DRB1,TUBB,PYCARD,ADGRG1,HLA-DQA1,PRF1,HLA-DPA1,PTMS,CKS1B,HIPK2,CHST12,LSP1,FAM3C,SLC1A4,NUDT1,DNPH1		PMID:37001526
Pai et al (2023)  MANA tumor-infiltrating lymphocyte	HLA-DPB1,IFNG,MIR4435-2HG,TNS3,HLA-DPA1,ENTPD1,GEM,GZMA,CCL3,HLA-DQB1,HLA-DRB1,HLA-DQA1,HLA-DRB5,HLA-DQA1,HLA-DRB5,HLA-DRA,CXCL13		PMID:37001526
Pai et al (2023)  Virus specific	Oliviera, Wu, Nature 2021,RARA,GADD45B,C1orf21,AOAH,MATK,SATB1,MBP,ANTXR2,RORA,CCR7,ANXA1,BACH2,GLUL,TNFSF14,AUTS2,PERP,EPHA4,TCF7,SELL,MYC,IL7R,CD300A,ITGA5,GPR183,KLF3,S1PR1		PMID:37001526
Pai et al (2023)  Influenza tumor-infiltrating lymphocyte	IL7R,GPR183,KLRC1,GPR15,ARL4A,PTGER2,AUTS2,RARA,PIK3R1,LYAR,NUDT11,KLF3,CCND3,CLDND1,YPEL5		PMID:37001526
Li (2019) Mature macrophage	CD45,Adgre1,Lyz2		PMID:30990466
Li (2019) M1 macrophage	Nos2,CD86,Tnf,Oasl2,Cd274,Zbp1,Ly6e,Tspo,Sepw1,Irgm1,Gbp5,Psmb9,Ccl5,Ly6a,Gbp2,Irf7,Isg15,Igtp,Gbp4,Fam26f	Chil3,Arg1,RETNLB,Mgl2,Mcf2l,Smap2,Cd300ld,Csf2rb,Vwf,Timp2,Il6st,Igf1,Tmem26,Arg1,Igfbp4,Maf,Wwp1,Pcp4l1,Rgs10,Sepp1,C5ar1,Hpgds,Dpep2,Bmyc,Clec12a	PMID:30990466
Li (2019) M2 macrophage	Chil3,Arg1,RETNLB,Mgl2,Mcf2l,Smap2,Cd300ld,Csf2rb,Vwf,Timp2,Il6st,Igf1,Tmem26,Arg1	Nos2,CD86,Tnf,Oasl2,Cd274,Zbp1,Ly6e,Tspo,Sepw1,Irgm1,Gbp5,Psmb9,Ccl5,Ly6a,Igfbp4,Maf,Wwp1,Pcp4l1,Sepp1,C5ar1,Hpgds,Dpep2,Bmyc,Clec12a,Gbp2,Irf7,Isg15,Igtp,Gbp4,Fam26f	PMID:30990466
Li (2019) M0 macrophage (unstimulated)	Igfbp4,Maf,Wwp1,Pcp4l1,Sepp1,C5ar1,Hpgds,Dpep2,Bmyc,Clec12a	Nos2,Tnf,Oasl2,Cd274,Zbp1,Ly6e,Tspo,Sepw1,Irgm1,Gbp5,Psmb9,Ccl5,Ly6a,Chil3,Arg1,RETNLB,Mgl2,Mcf2l,Smap2,Cd300ld,Csf2rb,Vwf,Timp2,Il6st,Igf1,Tmem26,Arg1,Gbp2,Irf7,Isg15,Igtp,Gbp4,Fam26f	PMID:30990466
Li (2019) Terminal maturation macrophage	Csf1r,Cebpb,Cd274,Itga4		PMID:30990466
Han (2020) Fetal_epithelial_progenitor	BEX3,STMN1,SOX4,LDHB,SKP1,SNRPE,ID3,SRP9,GSTP1,SRP14		https://carmonalab.github.io/UCell/UCell_vignette_TILstates.html#score-general-cell-type-signatures-using-ucell
Han (2020) Macrophage	CTSB,C1QB,LAPTM5,TYROBP,PSAP,C1QA,HLA-DRA,CTSD,NPC2,FCER1G		https://carmonalab.github.io/UCell/UCell_vignette_TILstates.html#score-general-cell-type-signatures-using-ucell
Han (2020) B_cell_Plasmocyte	JCHAIN,IGHA1,SSR4,MZB1,IGKC,IGHA2,HERPUD1,DERL3,SEC11C,FKBP11		https://carmonalab.github.io/UCell/UCell_vignette_TILstates.html#score-general-cell-type-signatures-using-ucell
Han (2020) Fibroblast	C1S,TIMP2,COL6A3,SEMA3C,MMP2,GSN,IGFBP6,MFAP4,COL6A1,PLAC9		https://carmonalab.github.io/UCell/UCell_vignette_TILstates.html#score-general-cell-type-signatures-using-ucell
Han (2020) Fasciculata_cell	PEBP1,STAR,RARRES2, CLU,CYP21A2,CYP17A1,AKR1B1,NOV,TPD52L1,EPHX1		https://carmonalab.github.io/UCell/UCell_vignette_TILstates.html#score-general-cell-type-signatures-using-ucell
Han (2020) T_cell	CD3D,CD3E,CD3G,CD4,CD2,CD7,TRAC,TRBC1,LAT		https://carmonalab.github.io/UCell/UCell_vignette_TILstates.html#score-general-cell-type-signatures-using-ucell
Zhang et al (2021) T-cell exhaustion (human)	NDFIP2,MT1L,MYO1E,RRM2,CTLA4,AC022506.1,BHLHE40-AS1,TOX,AFAP1,PKMYT1,MAP1LC3A,MAMLD1,BATF3,RN7SL743P,TRAJ13,TNIP3,RNU6-786P,MIR3142HG,AC009088.2,HLA-DMA,MSC,AIMP2,ASB2,ADGRG1,AC023794.3,IGLV2-14,AC090152.1,TRBV27,TRAJ54,ENO1P1,NMB,LDHAP2,CCR5,MIR7848,AC145207.3,AL590133.2,RPL17-C18orf32,MIR155HG,ST8SIA1,FAM184A,AC078927.1,BUB1B,RAD51AP1,TIAM2,AKAP5,TRAJ22,AC008982.1,TRAJ42,EPOP,RNU6-1016P,C3orf14,CD200R1,TOX2,CCL4L2,FAM111B,IKZF4,RF02195,SETBP1,TRAJ32,RF00017,SNORD36A,AC115102.1,FCRL3,SLC5A2,INPP5F,AP005263.1,LINC01480,AL022067.1,NCS1,AC133644.2,AC120057.2,SLC27A2,CLECL1,BLOC1S5-TXNDC5,SECTM1,HIST1H2AJ,BCAT1,ENTPD1,RNY3P14,MIR4426,CCL3L1,AL928654.2,FAM3C2,RF00019,AL512625.3,AC006111.1,RNU6-645P,CDCA3,MT-TG,MT-TL2,RF00019,RAMP1,AL157871.4,SNORA61,TRGJP2,SNORA77,MELK,TNFRSF9,ADAM28,DTHD1,AC080023.2,SLC2A8,AL355816.1,LAIR2,AL354798.1,PTGES3P2,RDH10,SNORA70,RNU6-268P,AL360012.1,ST20-MTHFS,PDCD1,AC099329.1,AC009093.8,RN7SL653P,AC092069.1,RF02196,AC011247.2,CADM1,PDGFA,TRBV7-9,PIF1,RF00019,MSC-AS1,MT-TR,RF00019,RF00413,AL158071.2,CHN1,RN7SL559P,HAVCR2,KRT86,RN7SL246P,CCL3,RF00019,MS4A6A,RNY4P34,RNU7-1,AC009244.1,MRPS36P1,RAB38,CD86,TIGIT,CAMK1,ETV1,HECTD2,TRAJ6,TNFSF4,AC020978.5,AC090844.1,MIR6764,AC073261.1,SCARNA22,AC006064.4,LINC00271,TRAJ52,AC027319.1,KIR2DL4,RF00019,DRAIC,TRAJ4,VCAM1,AC009656.1,MYO7A,ATP8B4,CD200,LMCD1,AC013460.1,TIMD4,LINC01943,MIR4647,ZBTB20-AS1,RF02105,AC017002.3,AL035604.1,HMOX1,GNG4,AC145207.2,LINC00515,IL13,MT-TK,ZBED2,TMEM155,AL158071.3,TRAJ3,SNORD15B,RF00397,AC243829.4,SNORD104,GLDC,LINC02341,SNORD11,AC090498.1,HMGB1P17,PMCH,FNDC9,PPIAP45,MIR155,CXCL13	MYH10,TNFSF8,SERPINI1,FBXL14,FTH1P2,MGAT4A,FAM157B,NDRG2,SPATC1L,PBXIP1,IL1B,IGLV3-1,RASGRP3,SNN,AC008555.5,GZMM,IL4I1,AC108449.2,TSGA10,TRAV25,MIR6516,ZFP36L2,TRAV1-1,ETFRF1,IGLV1-47,HSPA7,GPR132,GLUL,RASA3,TMSB4XP4,DECR2,DUSP6,AL136454.1,AL137779.2,FTH1,ZBTB10,SNORD107,IGHV3-11,IGKV1-5,PIK3R1,STX3,FOS,TRBV20-1,LIPT2,SNAI3,AC127502.2,MYADM,CITED4,SNORD49B,AEBP1,GSAP,CXCR4,AC005912.1,KIFC2,AC020656.1,SMIM14,AHNAK,NME4,WFDC2,MYBL1,ANTXR2,AL590867.2,RARA,HIST4H4,SNORD32A,NEIL1,LGALS3BP,AL162377.1,RF02271,RNU6-890P,CCL2,IGFBP4,PERP,ARHGAP5,TRDC,RPL13AP7,TMEM63A,AL671277.1,LTB,DUSP1,GALNT6,TF,TRAF4,RF00004,SNORA12,MGLL,STAG3,RNU6-387P,AC021188.1,RNVU1-7,IRF2BPL,AC095055.1,TC2N,SCML1,TRAV36DV7,P2RY8,CKAP4,RAB11FIP5,HIST1H2BC,IGLV3-9,MT1G,AC105020.2,ARL4D,LINC002481,TM4SF1,HSPA2,AL671762.1,IGHV1-18,IGKV3-11,SNORD21,IGHV4-39,CX3CR1,FHL1,FGL2,PKIG,TMEM71,GZMK,SNORD20,RPS7P11,ENC1,IL22,PFN2,AC004585.1,TRABD2A,GPR183,3-Mar,BACH2,CST3,PLEKHB1,IGHV3-23,ANXA1,SVIL,DDIT4,AC099336.2,CXCL1,RNF166,IGKV2D-28,IGLV1-40,ATP1B1,IGHD,ORM1,THBS1,TSC22D3,RF00019,SMIM3,IGLV3-25,ANAPC2,RF00003,GNLY,ZSCAN18,SCARNA4,PPP1R2C,TRAV10,EMP1,PXN,CCR4,DUSP8,TSPAN2,TRBV5-5,SLC16A3,BCL9L,FGR,SNORD33,HIST1H2BD,IGKV2-28,DNAJB1,MAFF,GPR35,HMGN5,LMNA,IL3,CCR7,SNORD59A,FCER1G,GNG8,PTGDR,AC020765.2,AL365357.1,PDCD4-AS1,ACSL6,RF02166,RAB13,AC013264.1,IL12RB2,TRGV10,EPHA1-AS1,CD40LG,CXCL8,TUFT1,RPS20P14,PSMD6-AS2,GALNT3,RPL10P6,IGFBP7,CYCSP45,F8A3,NCF1,HRH2,TGFBI,LYZ,ZMAT1,COL1A2,ADRB2,TNFSF13B,SNORD13E,NUDT4P2,USP53,RPL34P27,DKK3,LDLRAP1,HIST1H2AC,SNORA10B,SERPING1,ULBP2,AL592183.1,AL591895.1,KRT19,SNORD23,MS4A1,GTSF1,SNORD55,IGKV3-20,AC109326.1,CFB,LINC02384,C11orf21,EFNA1,AC113935.1,RPS27P29,MIR616,KRT8,HIST2H2BE,AL121845.2,KRT18,TMEM176B,AC020571.1,CEBPD,SNORA26,CXCL3,MPZL2,IGHV1-3,MT1XP1,IGLV3-21,SPARC,EPHA1,AL928654.3,TNFAIP2,AL591846.1,UBE2E2,SNORD3B-1,YWHAZP5,CXCL2,SERPINA1,SYNGR1,AC004918.1,BEX5,AC026401.2,RF00003,CTH,ITGA5,RNU1-134P,LSR,RF01979,FCRL6,SNORD12C,RPL21P119,DHRS3,TRAV21,TRBV4-2,SNORA7A,AC006064.5,IGHV1-2,TXK,SPINT2,C9orf72,SNORA84,RMRP,TRBV10-2,SIK1B,AGPAT4,SFTPB,ITGA6,SLCO3A1,TSPAN32,WDR86-AS1,LARGE2,IGLC3,SERPINF1,GDPD5,LST1,AL627402.1,S1PR5,MMP9,RF00019,IL7R,KLF2,RNU1-120P,AC124312.5,FAM169A,IGHG3,SNORD94,CXCL16,AC127502.1,RPL10AP2,HIST1H2BG,IGLC2,SNORA2C,AC099560.2,SNORD14D,SNORD45A,SNORA11F,RNF144A,PLAUR,ZNF165,S100A9,CD300A,CLU,FTH1P10,MIR142,SBF2,DPP4,PCAT1,JCHAIN,SNORD22,ZBTB16,EEF1B2P6,TRAV19,MYOM2,MGP,FTH1P20,CES1,LGMN,AC011497.2,AC135068.8,SPP1,IGHV1OR15-1,TCF7,RNU6-476P,AC004832.6,APBA2,SEMA4C,IFNGR2,CCDC65,SNORD35A,AUTS2,FGF9,TRBV4-1,RNA5SP371,SPON2,RPL30P4,SNORD89,TRBV24-1,CALHM6,RPL34P18,NHSL2,AL121944.1,MPP7,LAIR1,LYPD3,SNORD91A,PLCB1,TRBV6-1,GFPT2,SORL1,SSBP2,TYROBP,PLK2,C3AR1,COL6A2,RF00003,IRS2,ISCA1P1,C1QB,LEF1,BCYRN1,C1QA,SORBS3,RASGRP2,EPHA4,KLF3,TLE1,DPEP2,AC093591.1,IGKC,GPR15,FTH1P7,HIST2H2AA4,S1PR1,IGFBP3,AL161787.1,RN7SL34P,CRIP2,LINC00239,CYB561,IL2,RF00015,AL109741.1,MIR6891,TRBV15,RPS29P5,RPL39P3,TIMP1,IGHG4,TRBV12-5,CNN3,GRASP,FGFBP2,HIST2H2AA3,CACNA1C-AS2,G0S2,IGHA1,TRBV6-4,C1orf162,TRBV7-3,NSG1,AL162151.2,TRBV10-3,RNVU1-14,LINC02273,TMIGD2,SPART,IGHG1,RF00283,KLRF1,AQP3,RF00019,TRBV25-1,VTRNA1-3,AC016596.1,MT-TQ,PLEKHG3,PLAC8,ZNF683,PLXDC1,MIR663A,CCR6,MIR1244-1,MIR1244-4,MIR1244-2,RPL41P5,RPL41P1	DOI:10.1101/2021.07.05.451111
Zhang et al (2021) T-Cell exhaustion (mouse)	ZFP14,MIS18BP1,SIRT5,ZFP937,AC168977.2,CENPU,MOCS3,IFNG,GBP10,NRBF2,GM14419,GM25767,GM20939,GM2436,FCNA,TMEM14A,GM48720,PLOD2,TRAV8-2,GEMIN8,SEC22A,CIP2A,ARHGAP39,ARL10,GM20388,GM28911,TESK2,GM43778,GM14085,GM6741,GLCCI1,STK3,LITAF,TLCD2,GM3055,CCNE2,FEN1,RNF43,ANKRD46,B230354K17RIK,GPD2,IGHV3-6,APOO,ZFP41,NANP,GTSE1,MMD,RPH3AL,STX11,ZFP970,PRNP,MT-TP,TRAIP,GM15542,TOP2A,GM13835,D130040H23RIK,TRMT61B,GEM,MT-TN,HOOK1,EID2,KDELC1,GM47248,KIF18B,MS4A1,IRF8,CLSPN,CDCA8,HELLS,1700012D14RIK,NRIP1,ALCAM,CEP55,FMNL3,IFI44,DNAJC12,1110065P20RIK,MT-TC,GM22107,GM4814,4632427E13RIK,GM29094,TCRG-V1,FAU-PS2,ETAA1OS,MIR6357,MIR546,GM22247,CKAP2L,LNCPINT,UHRF1,GM14681,GM17494,CCNA2,GM26130,PLSCR1,GM44973,IGKV8-24,GM7609,PARD6A,PGM3,SKA3,GPATCH3,CCNF,CENPM,XKRX,CDH23,AC167249.1,GM25744,MRNIP,CSF1,DECR1,AC153498.1,2810408I11RIK,ABHD4,MTRF1,MARCKSL1,CD160,GM38329,CD38,CENPP,GM3604,TRAV17,8430429K09RIK,VAULTRC5,FANCI,IGHV1-55,SLC25A13,SHCBP1,KCNMB4,NCAPG2,CDKN3,LDHB,VSIG10L,RTL8C,GM15452,5330406M23RIK,HSPE1-PS2,IGKV1-135,KDM8,CENPE,GM45837,GM9887,IGLC3,TNFSF13B,TBC1D7,BIRC5,NARS2,GM10717,TRAV14-3,GM6644,TCRG-V3,MCOLN3,NEK6,GM36298,IGLV1,GM4924,GM3791,CDCA5,F730043M19RIK,RYK,TSGA10,NEIL3,2010204K13RIK,ID3,MTERF2,HACL1,NRARP,AIRN,GM6565,CAMKMT,GM14117,2810025M15RIK,RASGEF1B,TSPAN32,ADGRG1,PBK,FAM57A,GM36756,ZFP955A,SLC37A2,4930532G15RIK,PLK4,IGKV4-59,CENPS,GM14305,ITM2A,GM14434,GM49172,GZMC,GM12808,SGO1,3300002I08RIK,D630039A03RIK,CSTAD,GM39469,H3F3C,ABCG2,TIMP2,GM7805,CHN2,GM23419,IGLC1,TWSG1,AC183097.1,SUSD1,ARMC3,GM23245,ECT2,SNORA65,SPC24,SUPT3,TMEM147OS,ZFP119B,TRIP13,EXO1,MRM2,1700001O22RIK,E130308A19RIK,GM20689,GM14494,POU2AF1,IFT22,GM16283,GM12184,TLR7,SLC22A15,GM15725,MIR8104,EPOP,CCNB1,GM49384,EOMES,TIGIT,HSPA4L,GNG11,CENPI,GM21738,ABHD1,LCLAT1,KIF18A,TBC1D4,APOBEC2,E2F8,PLS3,HAVCR2,DTL,PPFIBP1,TMLHE,KIF11,SNORD22,SLFN10-PS,TSPAN6,HGS,BUB1,GM43058,COX11,GM13597,ESCO2,6720489N17RIK,TRAV6-5,SCRN2,CERS6,ZFP213,OSGIN1,AURKB,KIF2C,PVRIG,GM5931,ENPP5,TRAV7-5,ZFP599,RPL10-PS6,SLC25A29,RAD51,CRTAM,CCNB2,GM17173,GM26910,SERPINE2,MYB,GM33782,CKAP2,PBX4,GM4735,MAGEE1,GM26049,GM19196,LAG3,PDCD1LG2,GM15536,RAD51AP1,GM10226,SERP2,CCL3,TNIP3,GM11175,EEA1,NRN1,PFN2,GM11474,GM45236,MYBL2,IGHV6-3,BCL2A1C,KLRA7,SUSD2,TRAJ39,NEK2,CD200R1,MYPOP,GM17122,CENPF,CT010524.1,GAS2,GM10721,GM26527,D930028M14RIK,DYNLT1-PS1,PRSS2,NAT8F4,CD81,KLRA9,SRGAP3,GM14295,PDGFB,GM15706,GM10509,GM22579,GM37474,GM24539,CDC6,GM17764,MXD3,TRBV1,GM45778,GM26870,HMMR,EPHA3,AL731706.2,SPP1,MIR7058,AC164431.1,PXMP2,GM15443,GM10801,TMEM254C,GM45716,CELA1,2310031A07RIK,JDP2,GM13509,BC035044,GM10719,DEPDC1A,2810468N07RIK,GM10130,IGKV1-110,DUSP4,RPS11-PS1,GM10163,TMSB15L,SPO11,GCNT1,CPQ,GM16702,MT-TD,MIR8097,TROAP,GM49356,ATP1B1,2010109A12RIK,GM9803,AKR1E1,NME4,PTGER2,MT-TR,TJP2,6430590A07RIK,PPIC,FKBP10,ART2A-PS,PLXDC2,GM26860,MELK,ARL6,GM37376,UBASH3B,RAD54L,1810062O18RIK,KNL1,TRPS1,FBXL15,ADRB1,LRIG1,GM11998,CCDC142OS,5033430I15RIK,GM7666,GM24119,TCRG-C3,MT-TH,GM14048,TTK,TMEM273,BEND6,GM2800,TRAV15-1-DV6-1,BUB1B,MT-TK,EPHX1,GM14539,MIR22HG,GM7582,MIR6340,NINJ2,MAP6,SMS-PS,NUF2,HIST3H2BA,GM47586,TOX,SYNPO,POPDC2,CD244A,GM10108,6330403K07RIK,CAR2,ZFAND4,TNFRSF9,GM10718,BCAT1,A630023P12RIK,GM37560,TCRG-V7,NAIP5,GM6851,PACSIN1,EPCAM,GM14125,GM35363,HIC1,D630008O14RIK,POC1A,MIR1931,CD83,ENPP2,GM32687,GM12854,GM10169,CXCR5,P2RX7,KCNIP3,GM16550,KLRA3,PHACTR2,SPRY1,GM20402,IGHD,GM10180,FCRL1,XCL1,GM47308,ITGAD,KNTC1,GM10736,9630013D21RIK,NR4A2,GM44148,GM15433,MSL3L2,SNORA73B,MORN2,GM9790,GM15387,GM28942,GM17745,ICA1,4-Sep,MYO1E,1700011L03RIK,MIR155HG,B4GALT4,GM24451,GM10182,IKZF2,DUSP14,CXXC5,EGR2,PDCD1,CYTH3,GM7334,AC122217.2,GM10157,CAAA01147332.1,IZUMO1R,GM26377,FAM69B,PRR5L,ART3,RASGEF1A,HIST1H1B,GM11518,CCL1,4930417O13RIK,CD22,TNFRSF4,RGS16,GM10273,HIST1H2AP,GM10197,NEFH,CD200R2,GM11579,GPM6B,GLP1R,ST6GALNAC3,CD200,BACE2,A930002I21RIK,TG,IL1R2,2900026A02RIK,PERP,IGHG3,GM37401,HMGN3,ITIH5,COCH,SOSTDC1,GM11454,GM6637,ZBTB32,BC002163,GM12338,OCIAD2,IL21,GM4956,1700019D03RIK,TOX2,TNFSF4,NRGN,TRBV12-1,CCR6,PENK		DOI:10.1101/2021.07.05.451111
