ID	Pair.Name	Ligand.ApprovedSymbol	Ligand.Name	Receptor.ApprovedSymbol	Receptor.Name	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	HPMR.Ligand	HPMR.Receptor	PMID.Manual	Pair.Source	Pair.Evidence
41	ADM2_RAMP1	ADM2	adrenomedullin 2	RAMP1	receptor (G protein-coupled) activity modifying protein 1	NA	HPMR	NA	NA	NA	NA	ADM2	RAMP1	NA	known	literature supported
42	ADM_CALCR	ADM	adrenomedullin	CALCR	calcitonin receptor	NA	NA	IUPHAR	NA	NA	NA	ADM	CALCR	NA	known	literature supported
43	ADM_CALCRL	ADM	adrenomedullin	CALCRL	calcitonin receptor-like	NA	HPMR	NA	HPRD	NA	NA	ADM	CALCRL	NA	known	literature supported
44	ADM_GPR182	ADM	adrenomedullin	GPR182	G protein-coupled receptor 182	NA	HPMR	NA	NA	NA	NA	ADM	ADMR	NA	known	literature supported
45	ADM_MRGPRX2	ADM	adrenomedullin	MRGPRX2	MAS-related GPR, member X2	NA	HPMR	IUPHAR	NA	NA	NA	ADM	MRGPRX2	NA	known	literature supported
46	ADM_RAMP2	ADM	adrenomedullin	RAMP2	receptor (G protein-coupled) activity modifying protein 2	NA	HPMR	NA	NA	NA	NA	ADM	RAMP2	NA	known	literature supported
47	AGRN_ATP1A3	AGRN	agrin	ATP1A3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	NA	NA	NA	NA	STRING.binding	NA	NA	NA	16630822	novel	literature supported
48	AGRN_LRP4	AGRN	agrin	LRP4	low density lipoprotein receptor-related protein 4	NA	NA	NA	NA	NA	NA	NA	NA	18848351	novel	literature supported
49	AGRN_MUSK	AGRN	agrin	MUSK	muscle, skeletal, receptor tyrosine kinase	NA	HPMR	NA	NA	NA	NA	NA	MUSK	NA	known	literature supported
50	AGRP_MC3R	AGRP	agouti related protein homolog (mouse)	MC3R	melanocortin 3 receptor	NA	HPMR	IUPHAR	HPRD	STRING.binding	NA	AGRP	MC3R	NA	known	literature supported
51	AGRP_MC4R	AGRP	agouti related protein homolog (mouse)	MC4R	melanocortin 4 receptor	NA	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	AGRP	MC4R	NA	known	literature supported
52	AGRP_MC5R	AGRP	agouti related protein homolog (mouse)	MC5R	melanocortin 5 receptor	NA	NA	IUPHAR	HPRD	NA	NA	AGRP	MC5R	NA	known	literature supported
53	AGRP_SDC3	AGRP	agouti related protein homolog (mouse)	SDC3	syndecan 3	NA	NA	NA	NA	STRING.binding	NA	AGRP	SDC3	11461706	novel	literature supported
54	AGT_AGTR1	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	AGTR1	angiotensin II receptor, type 1	NA	HPMR	IUPHAR	HPRD	NA	NA	AGT	AGTR1	NA	known	literature supported
55	AGT_AGTR2	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	AGTR2	angiotensin II receptor, type 2	NA	HPMR	IUPHAR	HPRD	NA	NA	AGT	AGTR2	NA	known	literature supported
56	AGT_LRP2	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	LRP2	low density lipoprotein receptor-related protein 2	NA	HPMR	NA	NA	NA	NA	AGT	LRP2	NA	known	literature supported
57	AGT_MAS1	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	MAS1	MAS1 oncogene	NA	HPMR	NA	HPRD	NA	NA	AGT	MAS1	NA	known	literature supported
58	AHSG_INSR	AHSG	alpha-2-HS-glycoprotein	INSR	insulin receptor	NA	NA	NA	HPRD	NA	NA	NA	INSR	NA	novel	literature supported
59	ALB_LRP2	ALB	albumin	LRP2	low density lipoprotein receptor-related protein 2	NA	NA	NA	HPRD	STRING.binding	NA	ALB	LRP2	NA	novel	literature supported
61	AMELX_LAMP1	AMELX	amelogenin, X-linked	LAMP1	lysosomal-associated membrane protein 1	NA	NA	NA	NA	NA	NA	NA	NA	20382373	novel	literature supported
62	AMELY_LAMP1	AMELY	amelogenin, Y-linked	LAMP1	lysosomal-associated membrane protein 1	NA	NA	NA	NA	NA	NA	NA	NA	20382373	novel	literature supported
63	AMH_ACVR1	AMH	anti-Mullerian hormone	ACVR1	activin A receptor, type I	NA	NA	NA	NA	STRING.binding	NA	AMH	ACVR1	14656470	novel	literature supported
64	AMH_AMHR2	AMH	anti-Mullerian hormone	AMHR2	anti-Mullerian hormone receptor, type II	DLRP	HPMR	NA	HPRD	STRING.binding	NA	AMH	AMHR2	NA	known	literature supported
65	AMH_EGFR	AMH	anti-Mullerian hormone	EGFR	epidermal growth factor receptor	NA	NA	NA	HPRD	NA	NA	AMH	EGFR	NA	novel	literature supported
66	ANGPT1_ITGA5	ANGPT1	angiopoietin 1	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	NA	NA	NA	HPRD	STRING.binding	NA	ANGPT1	ITGA5	NA	novel	literature supported
67	ANGPT1_ITGB1	ANGPT1	angiopoietin 1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	NA	NA	NA	STRING.binding	NA	ANGPT1	ITGB1	NA	novel	putative
68	ANGPT1_TEK	ANGPT1	angiopoietin 1	TEK	TEK tyrosine kinase, endothelial	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	ANGPT1	TEK	NA	known	literature supported
69	ANGPT1_TIE1	ANGPT1	angiopoietin 1	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	NA	HPMR	NA	NA	NA	NA	ANGPT1	TIE1	NA	known	literature supported
70	ANGPT2_TEK	ANGPT2	angiopoietin 2	TEK	TEK tyrosine kinase, endothelial	DLRP	HPMR	NA	HPRD	STRING.binding	STRING.experiment	ANGPT2	TEK	NA	known	literature supported
71	ANGPT2_TIE1	ANGPT2	angiopoietin 2	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	NA	NA	NA	NA	STRING.binding	STRING.experiment	ANGPT2	TIE1	NA	novel	putative
72	ANGPT4_TEK	ANGPT4	angiopoietin 4	TEK	TEK tyrosine kinase, endothelial	NA	NA	IUPHAR	HPRD	STRING.binding	STRING.experiment	NA	TEK	NA	known	literature supported
73	ANGPT4_TIE1	ANGPT4	angiopoietin 4	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	NA	NA	NA	NA	STRING.binding	STRING.experiment	NA	TIE1	NA	novel	putative
74	ANGPTL1_TEK	ANGPTL1	angiopoietin-like 1	TEK	TEK tyrosine kinase, endothelial	DLRP	NA	NA	HPRD	NA	NA	NA	TEK	NA	known	literature supported
75	ANGPTL2_TIE1	ANGPTL2	angiopoietin-like 2	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	NA	NA	NA	NA	STRING.binding	NA	NA	TIE1	NA	novel	putative
76	ANGPTL3_ITGA5	ANGPTL3	angiopoietin-like 3	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	NA	NA	NA	HPRD	NA	NA	NA	ITGA5	NA	novel	literature supported
77	ANGPTL3_ITGAV	ANGPTL3	angiopoietin-like 3	ITGAV	integrin, alpha V	NA	NA	NA	HPRD	STRING.binding	NA	NA	ITGAV	NA	novel	literature supported
78	ANGPTL3_ITGB3	ANGPTL3	angiopoietin-like 3	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	NA	NA	NA	HPRD	NA	NA	NA	ITGB3	NA	novel	literature supported
79	ANGPTL4_TIE1	ANGPTL4	angiopoietin-like 4	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	NA	NA	NA	NA	STRING.binding	NA	ANGPTL4	TIE1	NA	novel	putative
80	ANXA1_DYSF	ANXA1	annexin A1	DYSF	dysferlin	NA	NA	NA	HPRD	STRING.binding	NA	ANXA1	NA	NA	novel	literature supported
81	ANXA1_EGFR	ANXA1	annexin A1	EGFR	epidermal growth factor receptor	NA	NA	NA	HPRD	STRING.binding	NA	ANXA1	EGFR	NA	novel	literature supported
82	ANXA1_FPR1	ANXA1	annexin A1	FPR1	formyl peptide receptor 1	NA	HPMR	IUPHAR	HPRD	NA	NA	ANXA1	FPR1	NA	known	literature supported
83	ANXA1_FPR2	ANXA1	annexin A1	FPR2	formyl peptide receptor 2	NA	NA	IUPHAR	NA	STRING.binding	NA	ANXA1	FPRL1	NA	known	literature supported
84	ANXA1_FPR3	ANXA1	annexin A1	FPR3	formyl peptide receptor 3	NA	NA	IUPHAR	NA	STRING.binding	NA	ANXA1	FPRL2	NA	known	literature supported
85	APLN_APLNR	APLN	apelin	APLNR	apelin receptor	NA	HPMR	IUPHAR	HPRD	STRING.binding	NA	APLN	AGTRL1	NA	known	literature supported
86	APOB_CALCR	APOB	apolipoprotein B	CALCR	calcitonin receptor	NA	NA	NA	NA	STRING.binding	STRING.experiment	APOB	CALCR	NA	novel	putative
87	APOB_ITGAM	APOB	apolipoprotein B	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	NA	NA	NA	NA	STRING.binding	NA	APOB	ITGAM	NA	novel	putative
88	APOB_ITGB2	APOB	apolipoprotein B	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	NA	NA	NA	NA	STRING.binding	NA	APOB	ITGB2	NA	novel	putative
89	APOB_LDLR	APOB	apolipoprotein B	LDLR	low density lipoprotein receptor	NA	HPMR	NA	HPRD	STRING.binding	NA	APOB	LDLR	NA	known	literature supported
90	APOB_LRP2	APOB	apolipoprotein B	LRP2	low density lipoprotein receptor-related protein 2	NA	NA	NA	HPRD	NA	NA	APOB	LRP2	NA	novel	literature supported
91	APOB_LRP6	APOB	apolipoprotein B	LRP6	low density lipoprotein receptor-related protein 6	NA	NA	NA	NA	STRING.binding	NA	APOB	LRP6	NA	novel	putative
92	APOB_LRP8	APOB	apolipoprotein B	LRP8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	NA	NA	NA	NA	STRING.binding	NA	APOB	LRP8	NA	novel	putative
93	APOB_LSR	APOB	apolipoprotein B	LSR	lipolysis stimulated lipoprotein receptor	NA	NA	NA	NA	STRING.binding	NA	APOB	NA	7615497	novel	literature supported
94	APOB_OLR1	APOB	apolipoprotein B	OLR1	oxidized low density lipoprotein (lectin-like) receptor 1	NA	NA	NA	NA	STRING.binding	NA	APOB	OLR1	9763524	novel	literature supported
95	APOC3_SDC2	APOC3	apolipoprotein C-III	SDC2	syndecan 2	NA	NA	NA	NA	STRING.binding	NA	APOC3	SDC2	NA	novel	putative
96	APOC3_TLR2	APOC3	apolipoprotein C-III	TLR2	toll-like receptor 2	NA	NA	NA	NA	STRING.binding	NA	APOC3	TLR2	NA	novel	putative
97	APOD_LEPR	APOD	apolipoprotein D	LEPR	leptin receptor	NA	NA	NA	HPRD	STRING.binding	NA	NA	LEPR	NA	novel	literature supported
98	APOE_CHRNA4	APOE	apolipoprotein E	CHRNA4	cholinergic receptor, nicotinic, alpha 4 (neuronal)	NA	NA	NA	NA	STRING.binding	NA	APOE	NA	NA	novel	putative
99	APOE_LDLR	APOE	apolipoprotein E	LDLR	low density lipoprotein receptor	NA	HPMR	NA	HPRD	STRING.binding	NA	APOE	LDLR	NA	known	literature supported
100	APOE_LRP1	APOE	apolipoprotein E	LRP1	low density lipoprotein receptor-related protein 1	NA	NA	NA	HPRD	STRING.binding	STRING.experiment	APOE	LRP1	NA	novel	literature supported
101	APOE_LRP2	APOE	apolipoprotein E	LRP2	low density lipoprotein receptor-related protein 2	NA	NA	NA	HPRD	NA	STRING.experiment	APOE	LRP2	NA	novel	literature supported
102	APOE_LRP5	APOE	apolipoprotein E	LRP5	low density lipoprotein receptor-related protein 5	NA	HPMR	NA	NA	STRING.binding	NA	APOE	LRP5	NA	known	literature supported
103	APOE_LRP8	APOE	apolipoprotein E	LRP8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	NA	HPMR	NA	HPRD	STRING.binding	STRING.experiment	APOE	LRP8	NA	known	literature supported
104	APOE_SCARB1	APOE	apolipoprotein E	SCARB1	scavenger receptor class B, member 1	NA	NA	NA	HPRD	STRING.binding	NA	APOE	SCARB1	NA	novel	literature supported
105	APOE_SORL1	APOE	apolipoprotein E	SORL1	sortilin-related receptor, L(DLR class) A repeats containing	NA	HPMR	NA	NA	NA	NA	APOE	SORL1	NA	known	literature supported
106	APOE_VLDLR	APOE	apolipoprotein E	VLDLR	very low density lipoprotein receptor	NA	HPMR	NA	HPRD	STRING.binding	STRING.experiment	APOE	VLDLR	NA	known	literature supported
107	APP_CAV1	APP	amyloid beta (A4) precursor protein	CAV1	caveolin 1, caveolae protein, 22kDa	NA	NA	NA	HPRD	NA	NA	NA	NA	NA	novel	literature supported
108	APP_CD74	APP	amyloid beta (A4) precursor protein	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	NA	NA	NA	NA	NA	NA	NA	NA	19849849	novel	literature supported
109	APP_FPR2	APP	amyloid beta (A4) precursor protein	FPR2	formyl peptide receptor 2	NA	NA	IUPHAR	NA	STRING.binding	NA	NA	FPRL1	NA	known	literature supported
110	APP_GPC1	APP	amyloid beta (A4) precursor protein	GPC1	glypican 1	NA	NA	NA	HPRD	STRING.binding	NA	NA	GPC1	NA	novel	literature supported
111	APP_LRP1	APP	amyloid beta (A4) precursor protein	LRP1	low density lipoprotein receptor-related protein 1	NA	NA	NA	HPRD	NA	STRING.experiment	NA	LRP1	NA	novel	literature supported
112	APP_NCSTN	APP	amyloid beta (A4) precursor protein	NCSTN	nicastrin	NA	NA	NA	HPRD	NA	NA	NA	NCSTN	NA	novel	literature supported
113	APP_NGFR	APP	amyloid beta (A4) precursor protein	NGFR	nerve growth factor receptor	NA	NA	NA	NA	STRING.binding	NA	NA	NGFR	NA	novel	putative
114	APP_SLC45A3	APP	amyloid beta (A4) precursor protein	SLC45A3	solute carrier family 45, member 3	NA	NA	NA	NA	STRING.binding	NA	NA	NA	NA	novel	putative
115	APP_TNFRSF21	APP	amyloid beta (A4) precursor protein	TNFRSF21	tumor necrosis factor receptor superfamily, member 21	NA	NA	NA	NA	STRING.binding	NA	NA	TNFRSF21	19225519	novel	literature supported
116	AREGB_EGFR	AREGB	amphiregulin B	EGFR	epidermal growth factor receptor	NA	NA	IUPHAR	NA	NA	NA	NA	EGFR	NA	known	literature supported
117	AREGB_ERBB3	AREGB	amphiregulin B	ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3	NA	NA	NA	NA	STRING.binding	NA	NA	ERBB3	NA	novel	putative
118	AREG_EGFR	AREG	amphiregulin	EGFR	epidermal growth factor receptor	DLRP	HPMR	IUPHAR	HPRD	NA	NA	AREG	EGFR	NA	known	literature supported
119	AREG_ERBB3	AREG	amphiregulin	ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3	NA	NA	NA	NA	STRING.binding	NA	AREG	ERBB3	8702723	novel	literature supported
120	ARF1_CHRM3	ARF1	ADP-ribosylation factor 1	CHRM3	cholinergic receptor, muscarinic 3	NA	NA	NA	HPRD	NA	NA	NA	CHRM3	NA	novel	literature supported
121	ARF1_INSR	ARF1	ADP-ribosylation factor 1	INSR	insulin receptor	NA	NA	NA	HPRD	NA	NA	NA	INSR	NA	novel	literature supported
122	ARF1_PLD2	ARF1	ADP-ribosylation factor 1	PLD2	phospholipase D2	NA	NA	IUPHAR	HPRD	STRING.binding	STRING.experiment	NA	NA	NA	known	literature supported
123	ARTN_GFRA1	ARTN	artemin	GFRA1	GDNF family receptor alpha 1	NA	NA	NA	NA	STRING.binding	NA	ARTN	GFRA1	9883723	novel	literature supported
124	ARTN_GFRA3	ARTN	artemin	GFRA3	GDNF family receptor alpha 3	NA	HPMR	NA	HPRD	STRING.binding	STRING.experiment	ARTN	GFRA3	NA	known	literature supported
125	ARTN_RET	ARTN	artemin	RET	ret proto-oncogene	NA	HPMR	NA	NA	NA	NA	ARTN	RET	NA	known	literature supported
126	ASIP_ATRN	ASIP	agouti signaling protein	ATRN	attractin	NA	HPMR	NA	NA	NA	NA	ASIP	ATRN	NA	known	literature supported
127	ASIP_F11R	ASIP	agouti signaling protein	F11R	F11 receptor	NA	NA	NA	HPRD	NA	NA	ASIP	NA	NA	novel	literature supported
128	ASIP_MC1R	ASIP	agouti signaling protein	MC1R	melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)	NA	HPMR	NA	HPRD	NA	NA	ASIP	MC1R	NA	known	literature supported
129	ASIP_MC2R	ASIP	agouti signaling protein	MC2R	melanocortin 2 receptor (adrenocorticotropic hormone)	NA	NA	NA	HPRD	NA	NA	ASIP	MC2R	NA	novel	literature supported
130	ASIP_MC3R	ASIP	agouti signaling protein	MC3R	melanocortin 3 receptor	NA	NA	NA	HPRD	NA	NA	ASIP	MC3R	NA	novel	literature supported
131	ASIP_MC4R	ASIP	agouti signaling protein	MC4R	melanocortin 4 receptor	NA	NA	NA	HPRD	NA	NA	ASIP	MC4R	NA	novel	literature supported
132	ASIP_MC5R	ASIP	agouti signaling protein	MC5R	melanocortin 5 receptor	NA	NA	NA	HPRD	NA	NA	ASIP	MC5R	NA	novel	literature supported
134	AVP_AVPR1A	AVP	arginine vasopressin	AVPR1A	arginine vasopressin receptor 1A	NA	HPMR	IUPHAR	HPRD	NA	NA	AVP	AVPR1A	NA	known	literature supported
135	AVP_AVPR1B	AVP	arginine vasopressin	AVPR1B	arginine vasopressin receptor 1B	NA	HPMR	IUPHAR	HPRD	NA	NA	AVP	AVPR1B	NA	known	literature supported
136	AVP_AVPR2	AVP	arginine vasopressin	AVPR2	arginine vasopressin receptor 2	NA	HPMR	IUPHAR	HPRD	NA	NA	AVP	AVPR2	NA	known	literature supported
137	AVP_OXTR	AVP	arginine vasopressin	OXTR	oxytocin receptor	NA	NA	IUPHAR	HPRD	NA	NA	AVP	OXTR	NA	known	literature supported
138	AZGP1_ITGAV	AZGP1	alpha-2-glycoprotein 1, zinc-binding	ITGAV	integrin, alpha V	NA	NA	NA	HPRD	NA	NA	NA	ITGAV	NA	novel	literature supported
139	B2M_CD1A	B2M	beta-2-microglobulin	CD1A	CD1a molecule	NA	NA	NA	HPRD	STRING.binding	STRING.experiment	NA	NA	NA	novel	literature supported
140	B2M_CD1B	B2M	beta-2-microglobulin	CD1B	CD1b molecule	NA	NA	NA	HPRD	STRING.binding	STRING.experiment	NA	NA	NA	novel	literature supported
141	B2M_CD247	B2M	beta-2-microglobulin	CD247	CD247 molecule	NA	NA	NA	NA	STRING.binding	NA	NA	NA	NA	novel	putative
142	B2M_CD3D	B2M	beta-2-microglobulin	CD3D	CD3d molecule, delta (CD3-TCR complex)	NA	NA	NA	NA	STRING.binding	NA	NA	NA	NA	novel	putative
143	B2M_CD3G	B2M	beta-2-microglobulin	CD3G	CD3g molecule, gamma (CD3-TCR complex)	NA	NA	NA	NA	STRING.binding	NA	NA	CD3G	NA	novel	putative
