"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"11","regulation of immune response (GO:0050776)",7.40058615458811e-10,9.38024295094042e-07,0.801215574617779,0.406524618031443,2.83202565345748,89,"FCGR2B;TYROBP;CD300LG;CLEC4G;CD3G;IGKC;CD3D;TRBC1;KLRD1;FGR;TRAC;KLRK1;BTNL9;CD226;CD3E;NCR1;CD160;ITGB2;HCST;VCAM1;C3;SELL;AMBP;CD34;ICAM1;SLAMF6;PILRA;CD300A;IGLC1;ITGB7;ITGAL;CD200R1;SH2D1A;PTPN22;ITGA4;ITGB1;CD40LG;LYN;CD247;CD19;NLRX1;B2M;SPPL2B"
"12","Monocyte and its surface molecules",4.91614791849749e-09,1.83495221057919e-06,0.761460801445585,0.905447161649157,3.34542898014127,8,"ITGB2;CD44;SELL;ICAM1;ITGAL;ITGA4;ITGB1;PECAM1"
"13","T helper cell surface molecules",4.85188546809896e-09,1.83495221057919e-06,0.761460801445585,0.825433750327145,3.53419082750062,12,"CD3G;CD3D;PTPRC;CD3E;CD28;ITGB2;CD2;ICAM1;THY1;ITGAL;CD247"
"14","Cells and molecules involved in local acute inflammatory response",6.52271214690894e-09,1.94768184706701e-06,0.761460801445585,0.842603403500329,3.50139720366342,11,"KNG1;ITGB2;VCAM1;C3;SELPLG;C6;ICAM1;ITGAL;ITGA4;ITGB1"
"15","Binding and Uptake of Ligands by Scavenger Receptors Homo sapiens R-HSA-2173782",7.03934635327174e-09,2.64151471906522e-06,0.761460801445585,0.598892751636561,3.15939431436381,30,"IGKC;IGLC2;SPARC;IGLC3;APOB;ALB;HSP90B1;AMBP;COL4A2;STAB1;IGLC1;STAB2;CALR;HPX;LRP1;HYOU1;APOA1;MASP1;COL4A1;APOE"
"16","CD22 mediated BCR regulation Homo sapiens R-HSA-5690714",1.41482152829637e-08,2.83584680260476e-06,0.747739663149885,0.827196046676617,3.32625887293569,11,"IGKC;IGLC2;IGHM;CD79A;CD79B;IGHD;IGLC3;CD22;IGLC1;LYN"
"17","Hemostasis Homo sapiens R-HSA-109582",1.19474050434776e-08,2.83584680260476e-06,0.747739663149885,0.231206220480529,1.96459136779621,368,"CD74;EHD3;TMSB4X;RAC2;FGA;FGR;SPARC;FN1;PLG;F8;SRGN;SIRPA;SLC8A1;KNG1;LCK;CLU;ITGB2;ITGA1;ITIH4;ABCC4;TIMP3;CTSW;CD44;CD2;APOB;ALB;FYN;SELPLG;IL2RB;RHOB;SELL;ATP2B1;KIF11;LCP2;APBB1IP;SERPINF2;DOK2;HSPA5;RACGAP1;ITGAX;FCER1G;CLEC1B;TFPI;CD47;GATA3;VEGFA;ATP2A2;QSOX1;FGG;PRKG1;SLC3A2;JAK1;ITGAL;LAT;APLP2;SERPIND1;DOCK2;GNGT2;IL2;CD48;ATP2A3;FGB;GNG2;SH2B3;FLNA;SPN;IL2RG;CSF2RB;MERTK;KLKB1;AKAP1;DOCK10;PIK3CD;ATP1B3;PSAP;ITGA4;ANXA2;PDE2A;F12;ITGB1;KIF18A;DOCK8;ITIH3;APP;ESAM;SERPING1;APOA1;GNG11;F2;LYN;DGKA;SERPINC1;PECAM1;LAMP2;GNAI2;F11R;VAV1;ITGA2B;DOCK4;DGKD;PIK3R5;KLC1;F7;RARRES2;PRKCB;ACTN4;ARRB1;PHF21A;CALU;PTK2;PRKCE;F5;TLN1;JAK3;ARRB2;F2R;KIF2A;GNAQ;PHACTR2;LGALS3BP;KIF16B;GATA4;CEACAM1;JMJD1C;HRG;STXBP3;P2RY12;ATP2B4;RASGRP1;DOCK5"
"18","Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002",1.13016058346867e-08,2.83584680260476e-06,0.747739663149885,0.298261183154841,2.33572769573568,187,"TMSB4X;RAC2;FGA;SPARC;FN1;PLG;F8;SRGN;KNG1;LCK;CLU;ITIH4;ABCC4;TIMP3;CTSW;ALB;FYN;IL2RB;RHOB;LCP2;APBB1IP;SERPINF2;HSPA5;FCER1G;CLEC1B;VEGFA;QSOX1;FGG;JAK1;LAT;APLP2;GNGT2;IL2;FGB;GNG2;FLNA;IL2RG;CSF2RB;PIK3CD;PSAP;ITIH3;APP;SERPING1;APOA1;GNG11;F2;LYN;DGKA;PECAM1;LAMP2;GNAI2;VAV1;ITGA2B;DGKD;PIK3R5;RARRES2;PRKCB;ACTN4;ARRB1;CALU;PTK2;PRKCE;F5;TLN1;JAK3;ARRB2;F2R;GNAQ;PHACTR2;LGALS3BP;HRG;STXBP3;P2RY12;RASGRP1;ORM1;GNA14;ITPR2;FAM3C;PIK3CA;SYK;GNB4;PRKCQ;PTPN1;ITPR1;TMX3"
"19","Platelet degranulation Homo sapiens R-HSA-114608",1.59653691691193e-08,2.83584680260476e-06,0.73376198835648,0.402805430153818,2.6762845709855,76,"TMSB4X;FGA;SPARC;FN1;PLG;F8;SRGN;KNG1;CLU;ITIH4;ABCC4;TIMP3;CTSW;ALB;SERPINF2;HSPA5;VEGFA;QSOX1;FGG;APLP2;FGB;FLNA;PSAP;ITIH3;APP;SERPING1;APOA1;PECAM1;LAMP2;ITGA2B;RARRES2;ACTN4;CALU;F5;TLN1;PHACTR2;LGALS3BP"
"20","Response to elevated platelet cytosolic Ca2+ Homo sapiens R-HSA-76005",1.70037449856381e-08,2.83584680260476e-06,0.73376198835648,0.401524256552666,2.7026992827676,79,"TMSB4X;FGA;SPARC;FN1;PLG;F8;SRGN;KNG1;CLU;ITIH4;ABCC4;TIMP3;CTSW;ALB;SERPINF2;HSPA5;VEGFA;QSOX1;FGG;APLP2;FGB;FLNA;PSAP;ITIH3;APP;SERPING1;APOA1;PECAM1;LAMP2;ITGA2B;RARRES2;PRKCB;ACTN4;CALU;F5;TLN1;PHACTR2;LGALS3BP;HRG;STXBP3;ORM1"
"21","Cell adhesion molecules (CAMs)",1.8042122038225e-08,3.84812688615285e-06,0.73376198835648,0.477055599186709,2.97672820196219,52,"CDH5;PTPRC;CD226;CD28;ITGB2;VCAM1;CD2;SELPLG;SELL;CD34;CD22;CLDN5;ICAM1;ITGB7;ITGAL;SPN;CD6;ITGA4;CDH1;PTPRF;SDC1;ITGB1;ITGA9;ESAM;ICOS;CD40LG;PECAM1;F11R"
"22","Response to elevated platelet cytosolic calcium",1.77825276710372e-08,3.84812688615285e-06,0.73376198835648,0.440424704640369,2.81580125039938,59,"TMSB4X;FGA;SPARC;FN1;PLG;F8;SRGN;KNG1;CLU;ABCC4;ALB;SERPINF2;HSPA5;VEGFA;FGG;FGB;FLNA;PSAP;APP;SERPING1;APOA1;PECAM1;LAMP2;ITGA2B;PRKCB;ACTN4;CALU;F5;TLN1;HRG;STXBP3"
"23","Neurophilin interactions with VEGF and VEGF receptor",3.67841858701729e-08,6.86484868802101e-06,0.719512826338911,0.962224183583407,3.05609417897375,5,"NRP1;KDR;FLT1;NRP2;VEGFA"
"24","Complement and coagulation cascades",6.86883736915038e-08,1.13946379912684e-05,0.704975715167238,0.479396172230104,2.91252647468937,47,"FGA;PLG;F8;KNG1;CFH;C4B;CD55;C3;C6;SERPINF2;CFI;TFPI;FGG;SERPIND1;FGB;KLKB1;CFB;F12;C8A;SERPING1;F2;SERPINC1;MASP1;CR2;F7;F5;F2R;C8G;C9;C5AR1;PLAUR;MASP2;CPB2;C1QB;MBL2;PROS1;APOA2;F10;F13B"
"25","Cell adhesion molecules (CAMs)",9.49048713447461e-08,1.46153501870909e-05,0.704975715167238,0.436989547119738,2.72648556810671,56,"CDH5;PTPRC;CD226;CD28;ITGB2;VCAM1;CD2;SELPLG;SELL;CD34;CD22;CLDN5;ICAM1;ITGB7;ITGAL;SPN;CD6;ITGA4;CDH1;PTPRF;SDC1;ITGB1;ITGA9;ESAM;ICOS;CD40LG;PECAM1;F11R"
"26","vascular endothelial growth factor-activated receptor activity (GO:0005021)",2.79144126703997e-08,1.56739427144294e-05,0.73376198835648,0.989586091254082,2.82871585538234,4,"NRP1;KDR;FLT4;FLT1"
"27","extracellular matrix organization (GO:0030198)",1.90805001250983e-08,1.89746729974404e-05,0.73376198835648,0.365044968328798,2.58794516170955,97,"KDR;FGA;SPARC;FN1;PLG;ITGB2;VTN;ITGA1;VCAM1;CD44;CTSS;TMPRSS6;COL4A4;SERPINF2;FLRT2;COL18A1;ITGAX;ICAM1;COL4A2;SPP1;CD47;ITGB7;LCP1;FGG;ITGAL;SERPINH1;FGB;CTSL;COL13A1;TIMP2;KLKB1;ITGA4;CDH1;ITGB1;ITGA9;APP;DAG1;PECAM1;F11R;DCN;MMP9;ITGA2B;COL4A1"
"28","phagocytosis, engulfment (GO:0006911)",2.24552343164975e-08,1.89746729974404e-05,0.73376198835648,0.578975222566517,3.11474856843157,30,"FCGR2B;TRBC2;RAC2;IGKC;IGLC2;IGHM;TRBC1;IGHD;ITGB2;RHOH;IGLC3;C3;IGLC1;TRDC;GSN;MYH9;BIN2;SH3BP1;NCOA3;ELMO1;ARHGAP12"
"29","Oncostatin M",2.94418379409897e-07,4.39566640458976e-05,0.674962860011025,0.289546433758776,2.20448800588784,155,"CCL5;S100A9;S100A8;CXCL2;IL6ST;VIM;FN1;FLT1;VTN;HAMP;HSPA5;LDLR;ICAM1;CTSB;SLC10A1;VEGFA;DHCR24;ITGAL;VIPR1;CCND1;FGB;EGFR;TIMP2;KLK1;HSD11B1;CYP1A2;ITGA4;CRP;CISH;SYNE1;ANXA3;JUN;SOCS1;NEDD4L;DNAJC3;LYN;ACSL5;STAT1;ABCC2;B2M;CDKN1A;SLC22A1;HMGCR;EFNA1;STK4;SLCO2B1;LIFR;PTPN7;DNM1L;DSG2;F2R;EXOSC10;SLC27A2;AADAC;SLC22A7;IL1R1;PRLR;KLF10;CEBPD;PGGT1B;ATP2B4;MYC;RNASE4;RUNX2;HIF1A;NMB;IGFBP2;PPARD;KIF5B;PLAUR;RRAGB;AURKA;ZBTB18;CDKN1B;ACSL3;EPAS1;LCN2;ETS2;TPM1;SRM;SOCS3;GAB1;MCM7;ECM1;PLCB4;IGFBP6;SLC16A3;LPL;PDGFA;GART;TGFA;KRT10;NOMO1;CTSH;TULP3;BCL10"
"30","B cell proliferation (GO:0042100)",7.07856884813226e-08,5.12690629429008e-05,0.704975715167238,0.84204178762156,3.30977516353668,10,"CD79A;PTPRC;MS4A1;MEF2C;BCL2;LEF1;CD40LG;CR2"
"31","regulation of humoral immune response (GO:0002920)",9.59535333451162e-08,6.08105517574674e-05,0.704975715167238,0.529096460434699,2.97045788715435,35,"FCGR2B;IGKC;CCR7;CLU;VTN;CFH;C4B;CD55;C3;C6;CFI;CPN2;IGLC1;CFB;C8A;SERPING1;F2;CD19;CFHR2;CR2;CD81;C8G;CFHR1;C9;C5AR1;CPB2;C1QB"
"32","Adhesion and diapedesis of lymphocytes",5.15117151778294e-07,6.40891589670827e-05,0.659444398037935,0.814551711268369,3.25325181656528,10,"ITGB2;VCAM1;SELL;CD34;ICAM1;ITGAL;ITGA4;ITGB1;PECAM1"
"33","Platelet activation, signaling and aggregation",4.8957474916785e-07,6.40891589670827e-05,0.659444398037935,0.287517232637323,2.18122175519596,149,"TMSB4X;RAC2;FGA;SPARC;FN1;PLG;F8;SRGN;KNG1;LCK;CLU;ABCC4;ALB;FYN;RHOB;LCP2;APBB1IP;SERPINF2;HSPA5;FCER1G;VEGFA;FGG;LAT;GNGT2;FGB;GNG2;FLNA;PSAP;APP;SERPING1;APOA1;GNG11;F2;LYN;DGKA;PECAM1;LAMP2;GNAI2;VAV1;ITGA2B;DGKD;PIK3R5;PRKCB;ACTN4;ARRB1;CALU;PTK2;PRKCE;F5;TLN1;ARRB2;F2R;GNAQ;HRG;STXBP3;P2RY12;RASGRP1;GNA14;ITPR2;PIK3CA;SYK;GNB4;PRKCQ;PTPN1;ITPR1"
"34","Beta-3 integrin cell surface interactions",5.9174451804271e-07,6.79595819567513e-05,0.659444398037935,0.556841651241476,2.97959942134138,27,"KDR;FGA;FN1;VTN;COL4A4;SPP1;CD47;THY1;VEGFA;FGG;FGB;SDC1;TGFBR2;PECAM1;F11R;ITGA2B;COL4A1"
"35","platelet degranulation (GO:0002576)",1.63347223471371e-07,9.20189358888721e-05,0.690132458796796,0.354206837624055,2.4817915699954,91,"TMSB4X;FGA;SPARC;FN1;TAGLN2;PLG;F8;SRGN;KNG1;CLU;ITIH4;ABCC4;TIMP3;CTSW;ALB;SERPINF2;VEGFA;QSOX1;SELENOP;FGG;APLP2;RAB27B;FGB;FLNA;PSAP;ITIH3;APP;SERPING1;APOA1;LYN;FERMT3;FAM49B;PECAM1;LAMP2;ITGA2B;RARRES2;ACTN4;F5;TLN1;PHACTR2;LGALS3BP"
"36","leukocyte cell-cell adhesion (GO:0007159)",2.3511223209972e-07,0.000108365365158689,0.690132458796796,0.660063404407148,3.12896947342992,19,"CCL5;ITGB2;VCAM1;ICAM1;EZR;ITGAL;MSN;ITGA4;ITGB1;APOA4;CD40LG;FERMT3;PECAM1;TNIP1"
"37","regulation of acute inflammatory response (GO:0002673)",2.18167682540149e-07,0.000108365365158689,0.690132458796796,0.507314039277692,2.91189125893563,38,"DNASE1L3;IGKC;IL6ST;CLU;VTN;CFH;C4B;CD55;C3;C6;CFI;CPN2;IGLC1;CFB;C8A;SERPING1;F2;CD19;CFHR2;CR2;CD81;C8G;CFHR1;C9;C5AR1;APCS;CPB2;C1QB"
"38","Extracellular matrix organization Homo sapiens R-HSA-1474244",7.36485529806293e-07,0.000110546478023925,0.659444398037935,0.309928132028886,2.28099713013283,125,"KDR;BMP2;FGA;SPARC;FN1;PLG;ITGB2;VTN;ITGA1;VCAM1;CD44;CTSS;COL4A4;CTSD;COL18A1;ITGAX;ICAM1;COL4A2;CTSB;SPP1;CD47;LTBP4;ITGB7;P4HB;FGG;ITGAL;SERPINH1;FGB;CTSL;COL13A1;TIMP2;KLKB1;ITGA4;CDH1;SDC1;ITGB1;PLEC;EFEMP2;NTN4;ITGA9;DAG1;PECAM1;F11R;DCN;MMP9;ITGA2B;DST;COL4A1"
"39","G alpha (i) signaling events",1.60003211141339e-06,0.000159256529489347,0.643551836150722,0.388520111130567,2.48734403084867,60,"CCL5;CXCL9;CXCL2;CXCR2;CXCR6;CCR7;KNG1;RGS1;CCR9;C3;CXCR3;CXCR4;CCR6;CCR2;ADCY3;GNGT2;AGT;CCR5;GNG2;RGS14;ADCY7;APP;GNG11;GPR18;GNAI2;ADCY9"
"40","Leptin influence on immune response",1.49735726624215e-06,0.000159256529489347,0.643551836150722,0.379070458172656,2.49834056931613,70,"CCL5;FCGR2B;CD3D;CD79A;CD79B;FOS;CCR7;IFIT2;CD3E;LTB;BCL2;VTN;SELL;CTSS;ITGAX;PTAFR;CXCR4;FCER1G;CCR2;XCL1;IL7R;VEGFA;TNFSF11;CRP;IFNG;CD38;MMP9;CSF3R;ABCA1;LIFR;IL1RAP;NFKB1;CEACAM1;SOCS4;IL1B;TFRC;NCF4;TNFSF12;ALCAM"
"41","Generation of second messenger molecules",1.73693200113415e-06,0.000162077467355831,0.643551836150722,0.596820289535217,2.93245212190292,20,"CD3G;CD3D;TRBC1;TRAC;FYB;CD3E;LCK;LCP2;GRAP2;LAT;EVL;ITK;CD247"
"42","Peptide ligand-binding receptors Homo sapiens R-HSA-375276",1.18933327238411e-06,0.000162289931077141,0.643551836150722,0.449578863050215,2.61547729717877,43,"CCL5;CXCL9;CXCL2;CXCR2;CXCR6;CCR7;KNG1;CCR9;C3;CXCR3;CXCR4;CCR6;QRFP;CCR2;XCL1;AGT;CCR5;PSAP;APP;F2;XK"
"43","T cell activation (GO:0042110)",4.08795045488662e-07,0.000164962686225334,0.674962860011025,0.436071591904366,2.72474822952935,53,"CD3G;CD7;CD3D;PTPRC;CCR7;CD3E;KIT;TXK;CD28;LCK;DPP4;RHOH;CD2;FYN;LCP1;MSN;LAT;IL2;PIK3CD;PTPN22;BLK;NLRC3;ADA;GPR18;ITK;LFNG;CHD7"
"44","T cell differentiation (GO:0030217)",4.55518265710983e-07,0.000164962686225334,0.674962860011025,0.54764647257586,2.91788318535238,29,"CD3D;PTPRC;KIT;TXK;CD28;LCK;RHOH;FCER1G;ZFP36L2;LEF1;IL2;PIK3CD;PTPN22;BLK;GPR18;LFNG;CHD7;LIG4;FADD;PTPN2;ADAM17;RIPK3"
"45","regulation of protein activation cascade (GO:2000257)",4.55518265710983e-07,0.000164962686225334,0.674962860011025,0.516581198896791,2.84890843132087,33,"IGKC;CLU;VTN;CFH;C4B;CD55;C3;C6;CFI;CPN2;IGLC1;CFB;C8A;SERPING1;F2;CD19;CFHR2;CR2;CD81;C8G;CFHR1;C9;C5AR1;CPB2;C1QB"
"46","G alpha (i) signalling events Homo sapiens R-HSA-418594",1.84011280367291e-06,0.000230167443192753,0.643551836150722,0.381153381404117,2.42484129527225,63,"CCL5;CXCL9;CXCL2;CXCR2;CXCR6;CCR7;KNG1;RGS1;CCR9;C3;CXCR3;CXCR4;CCR6;CCR2;ADCY3;GNGT2;AGT;CCR5;GNG2;RGS14;RGS5;ADCY7;APP;GNG11;GPR18;GNAI2;ADCY9"
"47","GPCR downstream signaling Homo sapiens R-HSA-388396",2.04647488999752e-06,0.000236289139222021,0.627256739718528,0.256087147651274,2.02092279053334,201,"CCL5;CXCL9;CXCL2;RAC2;CXCR2;CXCR6;CCR7;CALCRL;KNG1;RGS1;CCR9;C3;RAMP2;IL2RB;RHOB;CXCR3;PTAFR;CXCR4;CCR6;QRFP;CCR2;XCL1;ADCY3;JAK1;GNGT2;VIPR1;IL2;RGS2;AGT;CCR5;RAMP1;GNG2;IL2RG;CSF2RB;RGS14;RGS5;PIK3CD;TIAM1;PDE2A;ADCY7;APP;GNG11;GCGR;F2;GPR18;ARHGEF1;DGKA;GNAI2;PLCB2;ARHGEF2;VAV1;ITSN1;PLCB1;ADCY9;PDE7A;DGKD;PDE4B;PIK3R5;PRKCB;ARHGEF6;ARRB1;FGD4;PRKCE;ARHGEF18;RGS19;JAK3;ARRB2;F2R;GNAQ;RGS3;GRK6;P2RY12;RASGRP1;KALRN;GNA14;ITPR2;ROCK2;S1PR1;RAMP3;AKAP13;RHOC;PIK3CA;NMB;ECT2;GNB4;PRKCQ;ITPR1;DGKG;C5AR1"
"48","Acute myocardial infarction",3.0438968026664e-06,0.00024006444114506,0.627256739718528,0.661009291484193,2.99777131281561,15,"FGA;PLG;COL4A4;COL4A2;TFPI;FGG;FGB;F2;SERPINC1;COL4A1;F7;F2R"
"49","B lymphocyte cell surface molecules",3.18147262720494e-06,0.00024006444114506,0.627256739718528,0.856912788941959,3.02457458043362,7,"FCGR2B;PTPRC;ITGB2;ICAM1;ITGAL;CR2"
"50","Interleukin-4 regulation of apoptosis",3.21586659270006e-06,0.00024006444114506,0.627256739718528,0.262766803288465,2.02230408063877,165,"NKG7;GZMA;BMP2;CHST2;CXCL2;MAF;FOS;FN1;SLC39A8;LTB;KIT;VCAM1;TIMP3;TCF7;SATB1;GPR183;FGL2;CXCR4;FCER1G;TFPI;SPP1;GZMB;XCL1;IL7R;GATA3;ARL4C;RGS2;RASGRP3;EGFR;TMOD1;CTSL;CSF2RB;TIMP2;MCM6;POU2AF1;STK17B;JUN;DNAJC3;MET;STAT1;CASP2;ITPKB;CDKN1A;MCM3;DENND4A;DST;CD27;GJA4;ID3;DDIT4;LIFR;RBMS1;RIPK2;MAP3K14;CTSC;CPM;RASA2;GBP2;CLCN4;MXD1;RASGRP1;MYC;CCPG1;ENOX2;SLC11A2;ARHGAP32;S1PR1;WIZ;CDC25A;RSAD2;ABHD8"
