genes	D1	D2	DD
ATP13A3	0.107990669635419	0.0210753069109449	0.0869153627244741
CNN3	0.137092492292745	0.0503143960593672	0.0867780962333779
CHAF1B	0.0888465520141966	0.00254346854106893	0.0863030834731276
TLCD1	0.092862180561182	0.00663993340992786	0.0862222471512542
C8orf4	0.333261892860954	0.24744361932861	0.0858182735323438
PLP2	0.195647005827149	0.110268115270834	0.0853788905563148
ARL4C	0.239698765983518	0.154349435758954	0.0853493302245634
CGA	0.289708607936818	0.204491257571032	0.0852173503657861
SPRR2D	0.469209590303424	0.384062450196526	0.0851471401068984
TMEM171	0.197232366781769	0.11215355376814	0.0850788130136283
TUBB2A	0.123331277965425	0.0383334179162042	0.0849978600492209
FN1	0.383904331906504	0.299383016720227	0.0845213151862776
RAC2	0.114813130633386	0.0304722756204927	0.0843408550128931
VKORC1	0.122440773775338	0.0381780849088826	0.0842626888664554
SLC34A2	0.171475029685076	0.0873054952145675	0.0841695344705083
FST	0.507341691535909	0.423329757394592	0.0840119341413177
EIF4EBP1	0.20748033392209	0.124137111045172	0.0833432228769181
VSIG2	0.0998063798809373	0.0170902592332046	0.0827161206477327
DUSP7	0.0856084164751987	0.00303204914662849	0.0825763673285703
DEK	0.301986837766745	0.219431132584832	0.0825557051819129
UPK1B	0.154352822861636	0.0720509028553994	0.0823019200062371
RAB32	0.137427303170703	0.0553720573212272	0.0820552458494761
STEAP4	0.140861662363547	0.0590191009642467	0.0818425613993005
MMP7	0.508021981154291	0.42631636559259	0.0817056155617003
APOL2	0.201835180199472	0.12029685829549	0.0815383219039818
MSN	0.0994975900612107	0.0180014317952126	0.0814961582659981
LIMS1	0.0974501824767306	0.0160336057223523	0.0814165767543783
DUSP14	0.0972691050523107	0.0158944034559274	0.0813747015963832
PPDPF	0.132488418020882	0.0512021849715097	0.0812862330493719
ITGB4	0.143315795491523	0.0626684394726386	0.0806473560188845
PMEPA1	0.1454660215689	0.0650132109825987	0.0804528105863015
RBP1	0.346524847216943	0.266145074561491	0.0803797726554524
RAB11FIP1	0.135318136983003	0.0550848359352522	0.0802333010477507
IFI44L	0.195711847179771	0.115515207010967	0.0801966401688041
NET1	0.140097971255383	0.059916085660523	0.0801818855948599
STC2	0.162492226768176	0.0825153453898669	0.0799768813783096
MARVELD1	0.0941377327311308	0.0147654669619347	0.0793722657691961
RHOD	0.151454431288973	0.0725056513942225	0.078948779894751
VAMP5	0.200146193277838	0.121255544512053	0.0788906487657854
TFPI2	0.26629454822846	0.188086939180162	0.0782076090482979
CSTA	0.239049842424429	0.160875493372498	0.0781743490519308
FLNA	0.115783564911208	0.0376867279582655	0.0780968369529425
SLC38A1	0.0910264981564753	0.013235913021824	0.0777905851346513
DMKN	0.0838606837818738	0.00629893739529312	0.0775617463865807
RAD18	0.108475765011565	0.0311148024215838	0.0773609625899808
PDLIM4	0.140739091177258	0.0641809291601964	0.0765581620170612
IMPDH2	0.154213190563515	0.0781188457626209	0.0760943448008941
DCBLD2	0.108137747202144	0.0323792376091535	0.0757585095929905
PLSCR1	0.093292131748323	0.0177712903962672	0.0755208413520559
SOCS2	0.0866398988855833	0.0111996915702017	0.0754402073153816
IGFBP6	0.239833146958423	0.164629365854651	0.0752037811037724
PLEK2	0.152639118009395	0.0776748866487979	0.0749642313605968
THSD1	0.0830553746543542	0.00823913658348831	0.0748162380708659
TSC22D1	0.141491014934444	0.067050654019616	0.0744403609148276
LAMA3	0.150113869541624	0.0758955538072317	0.0742183157343918
DDX17	0.109804498448166	0.0355925279665454	0.0742119704816204
NME1	0.105756451102396	0.0316663468876149	0.0740901042147809
EVA1B	0.090406331550048	0.0163212299132327	0.0740851016368153
CORO1C	0.0797547613947122	0.00574441006414999	0.0740103513305622
GSTM3	0.174112795305478	0.100198973593205	0.0739138217122726
TRAPPC2L	0.0879261000203864	0.0140604842571949	0.0738656157631915
SDC1	0.0831182722873273	0.00937328313297419	0.0737449891543532
EREG	0.255381460669875	0.181644220537967	0.0737372401319076
SF3B6	0.0831419460041374	0.00996332946239729	0.0731786165417401
PAICS	0.142381025301811	0.0695098464364025	0.0728711788654082
PNP	0.117803448560138	0.0450782741775254	0.0727251743826123
ALDH3A1	0.220018784198329	0.147944687807915	0.0720740963904137
CAPRIN2	0.0803456906738045	0.00846997193850864	0.0718757187352959
RCAN1	0.0838190072118106	0.0121307717317622	0.0716882354800483
TGFA	0.109232777154304	0.0375970175790294	0.0716357595752746
SERPINH1	0.0941549201929662	0.0227223475993684	0.0714325725935978
HIST1H2BC	0.109525647234386	0.0384200589079705	0.0711055883264153
TRIM31	0.0837918086566113	0.0126944944412621	0.0710973142153492
MT1E	0.286913574282706	0.216060766049409	0.0708528082332966
FHL2	0.134205570793741	0.0634031355375509	0.0708024352561904
EXOSC7	0.0763378656545553	0.0056966368510604	0.0706412288034949
GCNT3	0.148386276025218	0.078237363944295	0.0701489120809229
RUVBL1	0.119641868618471	0.0497365856092346	0.069905283009236
H2AFZ	0.294280066518242	0.224566234306568	0.0697138322116741
DAZAP2	0.107581182722178	0.037979532747344	0.0696016499748342
ZNF165	0.080444782168535	0.0109990620455239	0.0694457201230111
HIP1R	0.0869179642646451	0.0177315806681236	0.0691863835965214
MYEOV	0.408231732512871	0.339118571997951	0.0691131605149202
AMIGO2	0.161562043524563	0.0925729800081337	0.0689890635164293
COTL1	0.123711478974818	0.0549059103901091	0.0688055685847085
VEGFC	0.104534328618952	0.0358319515220067	0.0687023770969454
C1orf56	0.272584660732434	0.204056825656186	0.0685278350762475
CCT6A	0.093325666821108	0.0250109213550031	0.0683147454661049
GARS	0.102692998492388	0.0345273032653435	0.0681656952270445
OAS2	0.16776173894187	0.0997776360361563	0.0679841029057135
NEXN	0.126240624868431	0.0582687484913203	0.0679718763771111
MTHFD2	0.123101131222303	0.0552001719507301	0.0679009592715727
HNRNPC	0.118703367257125	0.050827498803858	0.0678758684532666
THBS1	0.243621465882977	0.176016161374718	0.0676053045082588
LAMB1	0.0895563173445439	0.0219661563555793	0.0675901609889646
ECE2	0.0919049051567948	0.0243151760818586	0.0675897290749362
NTN4	0.0771385634693805	0.00962958846461158	0.0675089750047689
GJA1	0.106932687265971	0.0396055844432832	0.067327102822688
TUBB6	0.17287434853137	0.106100970660979	0.0667733778703913
PARP14	0.148643123439964	0.0818849288376828	0.0667581946022815
S100A14	0.227303564059369	0.160553980194388	0.0667495838649813
FAM162A	0.128128510046732	0.0614186411127406	0.0667098689339913
DHRS7	0.111945241570844	0.0452362268035116	0.0667090147673328
GM2A	0.0847605824704744	0.018247762270529	0.0665128201999453
HBEGF	0.182157779935011	0.115661998534096	0.0664957814009145
PLAUR	0.238893221159545	0.172459608853857	0.0664336123056881
ITGB8	0.148532292849848	0.0821682787497333	0.0663640141001144
SLC38A5	0.147467292664677	0.0811150828417894	0.0663522098228872
CXCL17	0.571521894342377	0.505209952874355	0.0663119414680217
SPP1	0.136368898942212	0.070072672130249	0.0662962268119629
LINC01503	0.101181856603585	0.0351182405588003	0.0660636160447846
CAV1	0.202911408629928	0.137155778347496	0.0657556302824316
CAPNS2	0.171011453298778	0.105270349487983	0.0657411038107953
TGFBR2	0.144291429345884	0.0785902847173365	0.0657011446285475
CD44	0.0827930958491812	0.0171319988915767	0.0656610969576045
HMGB3	0.214052563006062	0.148694257349019	0.0653583056570435
MPHOSPH6	0.0852345368505397	0.0201027955677934	0.0651317412827464
FERMT1	0.196257669708194	0.131155374361539	0.0651022953466551
LYSMD2	0.0746486218740707	0.00961789903398103	0.0650307228400897
HSD17B10	0.0939631867848404	0.0291957152077533	0.0647674715770871
LDHB	0.107651890955018	0.0429868198232206	0.0646650711317977
ST6GALNAC1	0.149533728928957	0.0850643785378055	0.0644693503911514
S100A4	0.340984827103698	0.276655651009261	0.0643291760944378
EBPL	0.0726250836484994	0.00919591530727242	0.063429168341227
SRM	0.0966914415788181	0.033421128469082	0.063270313109736
B4GALT1	0.1493016748326	0.0860471742162166	0.0632545006163832
IFIT3	0.0931581589934038	0.030037249980507	0.0631209090128967
FERMT2	0.0701858456208195	0.00713436844722581	0.0630514771735937
SNAPC1	0.245177589337329	0.182151985156755	0.0630256041805742
AFF4	0.0729673734911136	0.0105354410200165	0.0624319324710971
AES	0.107654843536275	0.0452502820811318	0.0624045614551434
ZC3H12C	0.0814521553966632	0.0192059253729188	0.0622462300237444
MRGPRX3	0.107221602005526	0.0454142765480239	0.0618073254575021
CD24	0.1175791088436	0.0559755015957605	0.0616036072478399
SLC7A11	0.169495743974749	0.107986828149466	0.0615089158252829
FBL	0.17150441767489	0.110004439686671	0.061499977988219
NUCB2	0.156121087407264	0.094742592339284	0.0613784950679801
PRKCDBP	0.175891578674373	0.114616206775899	0.0612753718984743
IFITM3	0.131347320328808	0.070250629864091	0.0610966904647174
PYCARD	0.110771833439189	0.0497418630264777	0.0610299704127117
GAL	0.29456807839788	0.233849168782617	0.0607189096152636
PHB2	0.118619372376708	0.0580384260221895	0.0605809463545181
SCARB2	0.0818008321758506	0.0213724504781913	0.0604283816976593
DCPS	0.0684757458738878	0.00806711333648258	0.0604086325374052
VAMP8	0.0680226334887714	0.00771120470623775	0.0603114287825336
HOMER3	0.071101302801592	0.0108472066227728	0.0602540961788192
SFN	0.170577022676088	0.110499870034319	0.0600771526417692
SNRPD3	0.0777292721701635	0.017677525513427	0.0600517466567364
MX1	0.103212692462284	0.0431923908748983	0.0600203015873854
BZW1	0.115595913477288	0.0557368532628978	0.0598590602143897
KIF22	0.064445260029752	0.00465353181997432	0.0597917282097777
TRIB3	0.0734320473986182	0.0136844648507505	0.0597475825478677
SERPINF1	0.130214519222203	0.0708966321172142	0.0593178871049892
NOLC1	0.0669964542567663	0.00769727559841034	0.059299178658356
MGST3	0.172438546445872	0.113263911196601	0.059174635249271
EID1	0.0835969026175495	0.0244725789595045	0.059124323658045
TMBIM6	0.0981999572678822	0.0391054566163779	0.0590945006515043
RPL10A	0.0734773734992197	0.0145001065945689	0.0589772669046507
DHRS9	0.458726426153153	0.399969324204371	0.0587571019487816
PRKD3	0.0697024967141801	0.0112169557994079	0.0584855409147722
HSBP1	0.145312811924934	0.0868787166550882	0.0584340952698453
LRRC8A	0.0701153072181945	0.0118281874455646	0.0582871197726299
ATP6V1G1	0.0940044932842464	0.0357258260490326	0.0582786672352139
EMP1	0.137201541993577	0.0789499108605139	0.0582516311330631
ARF1	0.133890245717823	0.0759738330015404	0.0579164127162828
PTP4A1	0.0913380676510207	0.0334747888488231	0.0578632788021976
ATP1B3	0.110980730160643	0.0531721909330642	0.0578085392275786
GTF2I	0.104823870109454	0.04701877434056	0.0578050957688937
PGK1	0.0990203254755155	0.0412175300860382	0.0578027953894773
AHCY	0.0929249089003037	0.0354601739300597	0.0574647349702441
BIK	0.131795419464439	0.0745071122093809	0.0572883072550579
OAF	0.172525722314488	0.115262900529039	0.0572628217854484
BCL2A1	0.180646578693717	0.123438874316903	0.0572077043768139
VMP1	0.0955285348468215	0.0384272857812119	0.0571012490656095
SLC39A4	0.100579304341058	0.0435573976717862	0.0570219066692716
TRAPPC4	0.0787368584780946	0.0218516653709532	0.0568851931071413
F11R	0.0921019749359514	0.0352340784584716	0.0568678964774798
FYB	0.122559812210719	0.0657386086876358	0.0568212035230831
GOLM1	0.0845808848053133	0.0278010194864161	0.0567798653188972
IFITM2	0.106332432834797	0.0496357402999085	0.0566966925348881
LRPAP1	0.0972541484411992	0.0410058794519704	0.0562482689892288
PWP1	0.0618427441690332	0.0056550454410366	0.0561876987279966
TRIM22	0.138280531201063	0.0822755428321897	0.0560049883688737
GGCT	0.109019729848095	0.0531451251879299	0.0558746046601651
MTCH2	0.0767524786003182	0.0209087423024421	0.0558437362978761
MFSD2A	0.0643490762977666	0.00861694069129475	0.0557321356064719
RNASET2	0.116960518978569	0.0612307313445557	0.055729787634013
COPS6	0.0805509408264948	0.0249118505710679	0.0556390902554269
SAMD9	0.0774099780182318	0.0218092640870471	0.0556007139311847
RPS3	0.0842604793286488	0.0287191886383595	0.0555412906902894
EIF3E	0.0808948855763662	0.025394753549207	0.0555001320271591
TNS4	0.0908776617974713	0.0354389961574752	0.0554386656399961
COMMD6	0.115563912247848	0.0601409417713346	0.0554229704765139
RAC1	0.113211801499765	0.0578796299133842	0.0553321715863812
CDC123	0.0935182019628176	0.0382229126444584	0.0552952893183592
ULBP2	0.0987731838356646	0.0435375840625312	0.0552355997731335
HMGA1	0.076886267052976	0.0217927720332822	0.0550934950196938
NAP1L1	0.0851929670213636	0.0304522427623254	0.0547407242590383
LGALS7	0.0938618523686017	0.039144796945877	0.0547170554227247
PLEKHA4	0.0825971063561358	0.0279113759432568	0.054685730412879
MAP3K13	0.0620532820054425	0.00740860574016663	0.0546446762652759
LITAF	0.0581674184335183	0.0036854347064907	0.0544819837270276
SERF2	0.159545468172923	0.105118951729944	0.0544265164429796
RUVBL2	0.0805786513830055	0.0261743625251081	0.0544042888578975
HILPDA	0.102430221130323	0.0480658623783817	0.0543643587519411
C20orf27	0.090038387196021	0.0358275446014694	0.0542108425945516
MT1X	0.285585715462125	0.231663539443254	0.0539221760188715
CD99	0.107336904366341	0.0535084998023106	0.0538284045640307
HSPB1	0.195698901479845	0.142011242464965	0.0536876590148799
AIM2	0.213453906014824	0.16003414829222	0.0534197577226034
CRIM1	0.0593177394183984	0.00590578542985508	0.0534119539885433
SLC39A8	0.224673798860605	0.17129885545367	0.0533749434069352
ABL2	0.0618438448655506	0.00870588585888978	0.0531379590066608
CDH3	0.05752142628185	0.00450994295484679	0.0530114833270033
EEF1B2	0.0557914675351448	0.0028398104233349	0.0529516571118099
H3F3B	0.0964174790006143	0.0434872971466433	0.052930181853971
EEF1D	0.0606726909268274	0.00795256721320145	0.052720123713626
RBM3	0.0762564526442541	0.023538852848659	0.0527175997955951
NDUFB6	0.0694204858198353	0.016737178124313	0.0526833076955223
ITGA2	0.0839360979617488	0.0312734780564516	0.0526626199052972
MRPL28	0.095462062308181	0.0428097770154625	0.0526522852927185
EIF3L	0.0898121945810157	0.0371972093453471	0.0526149852356686
MRPS23	0.108614454444433	0.0562720788545524	0.0523423755898809
TMSB10	0.0635256037324105	0.0112380333097729	0.0522875704226375
EPSTI1	0.0590000434620265	0.00689948243074407	0.0521005610312824
SMYD2	0.0565386781660267	0.0045576089196558	0.0519810692463709
NPC2	0.0570410041297187	0.00511705553684958	0.0519239485928692
FNIP2	0.0733333651016526	0.0214438163827397	0.0518895487189129
EIF4A2	0.0655830726596722	0.0137508886342124	0.0518321840254598
FRMD6	0.0739948690467207	0.0223456210370131	0.0516492480097076
CLEC2B	0.170220628024482	0.11865644904222	0.0515641789822626
GLRX3	0.101284329566132	0.0497418195047381	0.0515425100613941
FXYD5	0.151862076968201	0.100330619194375	0.0515314577738261
GPX2	0.330611852501572	0.279183609317045	0.0514282431845266
PFN1	0.0734394893629649	0.0220257617373935	0.0514137276255714
FOSL1	0.143385850418968	0.0920724523015823	0.0513133981173857
PRDX4	0.101795016197928	0.0505212779291539	0.0512737382687745
RPL36AL	0.116650316890403	0.0654205117950874	0.0512298050953152
TXN	0.0759380195630084	0.0247853248222812	0.0511526947407273
DRAM1	0.207943544545918	0.156818094712024	0.0511254498338944
LAPTM4B	0.0583877576901589	0.00732677837154097	0.051060979318618
ZFP36L2	0.198700973777534	0.147738852442081	0.0509621213354527
ACAT2	0.0691451740194023	0.018184271679404	0.0509609023399983
HACD1	0.0646945251764953	0.0137716732611167	0.0509228519153785
ITGA5	0.0581749409706767	0.00729327816410488	0.0508816628065718
PDLIM1	0.0981574402627526	0.0473759412476344	0.0507814990151182
SUPT4H1	0.07237332753096	0.0216917447362437	0.0506815827947163
MAP4K4	0.0722257523820425	0.0215472961276884	0.0506784562543541
NUP155	0.0664608889743547	0.0158269628524432	0.0506339261219115
CCT2	0.132545766257106	0.081913258502535	0.0506325077545707
ARSJ	0.0638815798817847	0.0132593841328002	0.0506221957489845
COX8A	0.061168558537829	0.010547575231832	0.050620983305997
EIF4G2	0.132894315881039	0.0822896861323196	0.0506046297487195
RFXANK	0.077093562662941	0.0265662130903081	0.0505273495726329
CXCL3	0.319982499385412	0.269582493416896	0.0504000059685159
CAMK2N1	0.204185904138896	0.153800203663828	0.0503857004750675
TAP1	0.0696560203301844	0.0193281507620424	0.050327869568142
PTTG1IP	0.0714455400169208	0.0211441621224757	0.050301377894445
ACTN1	0.0662740248609572	0.0160366740167591	0.0502373508441981
BCL7C	0.0709983862174887	0.020819099373715	0.0501792868437737
ZCCHC17	0.0618672382667134	0.0118057168932476	0.0500615213734658
ABHD3	0.0549859525765139	0.00514463716926337	0.0498413154072506
GXYLT1	0.0647015240058879	0.0150053998929575	0.0496961241129305
NETO2	0.154100394004424	0.10445599205632	0.0496444019481042
ETS1	0.134547647338916	0.0849451867083651	0.0496024606305512
XAF1	0.122050881311901	0.0724488353973038	0.0496020459145968
GJB5	0.0769237388000486	0.0273640478748165	0.0495596909252321
PTMS	0.108301897197244	0.058754232609225	0.0495476645880186
LYAR	0.180020448359879	0.130526889875422	0.0494935584844571
PSMA5	0.0966354358473262	0.0471812839013008	0.0494541519460254
IFIT1	0.0599588924669052	0.0105770187207769	0.0493818737461283
XRCC5	0.0619481635742878	0.0126090131235499	0.0493391504507379
MX2	0.0980476834938614	0.0489760295756797	0.0490716539181817
SH3KBP1	0.0873604131533165	0.0382950142127762	0.0490653989405403
BYSL	0.0580518967448888	0.00903950833142433	0.0490123884134645
LAD1	0.0708066191349836	0.0218873695829111	0.0489192495520725
HAUS8	0.0541862747112199	0.00526809705133056	0.0489181776598894
B3GNT7	0.0570538818191098	0.00819923085321254	0.0488546509658973
LYRM7	0.0541854241115981	0.00538571707584702	0.048799707035751
SLC25A37	0.0650355001214045	0.0162734293533962	0.0487620707680082
PPP1R18	0.0556079993535547	0.00704412721182612	0.0485638721417286
EFNB1	0.0918699617241027	0.0433241088061347	0.048545852917968
NCCRP1	0.182760487518379	0.134334624687252	0.0484258628311261
CEACAM6	0.614931085334996	0.566513414013197	0.0484176713217985
ADCY3	0.0576204973413957	0.0092071138768046	0.0484133834645911
SHC1	0.0910949690287797	0.0427208044388529	0.0483741645899268
