,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
VAMP4,6.480648045,5.622215853,1.344089921,0,0,7.05978572,5.248326098,4.393127852,7.192148784,6.161462468,0.328262029,7.334894483,3.283403257,0,7.922664674,6.520340525,5.923422572,4.821664301,3.493532057,9.040773826,3.847666251,0,5.818400671,0,7.552576885,7.896721713,7.272138929,0,6.434881719,6.940664794,3.032841401,7.576443531,5.329618765,0,9.116992898,8.651508114,7.617759097,8.682212298,0,5.462919377,2.359661722,5.092896648,0,4.204336382,0,3.939010251,0,8.261957148,0,0,0,1.840805613,5.997784665,4.059112962,7.552621455,0,3.684695329,0,6.158668253,0,0,4.318974763,2.362049012,0,0,0,0,2.929506975,0,5.535872552,0,0,0,0,0,0,0.314754522,0,6.255580041,0,6.626934066,0,0,7.564180745,2.34283916,0,7.028208875,3.066037511,1.314406508,0,1.03801469,0,0,5.961340873,1.150559677,8.045905425,0,0,1.231432408,0,0,0,0,0,4.945762189,0,0,1.506652715,0,5.741135263,0,8.560227351,3.02586156,6.373702146,3.827087332,0,0,0,0,6.435435244,0,0.421802281,0,0,6.224156068,0,5.706674207,5.742289223,0,6.344093473,0
H2-M3,0,6.206840503,0.286053134,0,0,0,3.271067049,0.559638645,0,0.244399991,0.727615551,3.914966279,5.780451842,0,5.431352178,5.699868076,4.237678432,5.647982163,7.085388537,2.143426073,0,8.401120577,4.404405884,0,3.262102364,0.478505927,2.891788563,1.492776126,0,7.271821556,7.902113989,0.24902051,0,8.64392147,1.459274225,0,1.10648233,1.937231383,0,0,4.256210576,0.517930742,6.213069215,0,0,6.776775159,0,6.77478706,0,0,0,6.174618141,6.25582738,0,0,0,0,6.09926364,1.239581346,0,2.903636055,7.694999948,0,0.223051788,7.011248504,0,6.545117385,0,0,5.661772398,0,0,9.157941577,2.380867949,1.591057019,8.284894412,4.861642779,3.026109525,1.941256584,2.542778069,0,0,1.389566812,0,7.152320339,0,3.247517426,0,0,0,2.458487,0,0,1.735262209,5.718520547,0,1.94106874,0,0.46727948,1.497433534,2.543421643,1.226816765,0,0,1.76714627,6.121434053,9.781024576,0,0,4.362322596,0,0,8.330695977,7.758918739,2.167518504,0,0,1.874757628,7.301748587,7.76077516,0,8.34042474,0.962660066,0,6.190766944,6.357404209,0,7.9479291,6.62266392,6.255302443,4.825653357
NFKBIE,0,4.248618323,0,0,6.129684855,5.356393865,0,1.525968621,0,0,4.409404514,0,5.181631336,0,0,0,0.144307467,6.860414112,5.74684481,5.157112447,0,0,1.01485515,1.487743583,0,8.901083196,0,0,5.533915258,0,4.950090427,0,0,1.570851483,0,0,0,5.271847695,0,0,0,0.168256923,0,0,0,6.480449325,0,5.635568674,0.328836464,0,0,0,0,3.17219946,0,0,0,8.373837844,1.960474641,1.898285759,0.99356568,6.520876359,7.968910965,7.363277102,2.530570204,0,7.630223434,1.962808111,0,7.398247747,2.963566601,6.151461079,2.016674595,3.047974551,5.999655064,6.570423463,2.573568424,1.734698783,5.569029239,0.633942631,0,0,0.945607703,4.418034739,2.566839503,0,3.057363621,4.263327424,2.608714637,0,1.606442228,1.520397103,0.187514398,4.71437192,0.372172052,0,4.467683796,0,6.034356597,0.603216843,7.148542678,6.091054496,6.427830738,0,2.988302947,0.699551633,1.72900887,5.204633741,3.3817402,7.361799936,7.374283122,1.760859637,1.964287722,6.09645795,0.539431811,0,0,0,6.547597892,3.358339994,7.677953554,4.469957588,0.34619103,0,5.589050351,6.504440839,7.74449616,6.378293122,0,0,6.792256708
GTPBP2,3.049090527,0,0,0,3.622180704,0,5.420664294,5.597846971,0,0,0,0.14574266,0,0,0.687419077,0,0,4.274045427,4.36509759,4.307741804,0,1.665983918,0.355241844,4.506817716,1.987648301,5.990530609,0.366923649,0,5.33598339,0.210887549,1.586068143,0,0,2.75580626,0,4.952971827,0.281905924,0,0.293017272,0,6.836290258,0,3.188907267,0,0,6.735445004,0,0,0,0,0,0.231186613,3.661931977,1.223484334,4.693882773,0,0,0,5.119468235,5.678553662,2.480652891,3.522093424,1.01678155,3.110212885,1.628633634,0,1.941331714,2.553409657,2.578431568,3.609684055,3.268404449,1.916705929,0,6.972504264,8.895594064,6.391030446,3.451830925,7.704997116,7.242515812,4.989561397,0,0.551589842,1.332793848,2.591942658,6.154163939,6.652713063,1.001730196,3.317911817,0,0,7.767513779,3.88584765,0,1.063157759,0,6.128555303,0,0,0,4.903072023,0,5.675832864,0,0,7.00379223,6.074766584,0,1.536202137,0,7.353716732,2.294459011,0,0,6.347212086,0,0,0,0,5.418011118,4.029594233,0,0.181675061,6.88754233,5.696233129,7.332360643,6.734549763,1.658051492,2.411290648,0,6.207744515,1.737210831
MEA1,0.432959407,7.596057037,0,0,0,6.986109394,1.564329387,8.233334465,0,7.669245081,0,8.126255335,0,0,0,6.691560685,6.153677676,0,7.933678854,1.032806145,7.915018284,8.485840979,5.094628788,4.748799325,7.76059355,8.894709557,8.583674772,0,0,7.498803741,7.12357826,10.73090492,8.091123805,8.33702374,0.618708512,0,9.134400393,0,8.130605568,0,3.43580192,0,8.390543019,0,0,0,0,7.54973847,0.853037523,0,11.65090692,3.190867665,7.723272533,9.395647019,4.406978771,0,7.862988149,1.710966189,7.794255991,6.931291841,0,5.248743544,2.607957565,0,0,0,0,0,6.989420614,8.140879862,0,0.398459827,0,0,0.809825996,7.587694271,6.753976179,0,3.531231724,8.236965148,2.233335903,6.524855097,7.349929605,0.942608336,0,6.451318279,0,7.786692408,0,0,0,6.074657422,0,1.663025756,7.514332178,5.225691388,1.858378925,0,8.046413026,7.944646476,8.454133523,0,0,0,7.727245905,8.63294432,0.497433534,0,0,5.689997971,1.552278691,1.350101159,3.897182329,3.372394965,8.660470531,0,0,9.336856201,6.810784971,4.502247847,0,8.274801173,0,0,2.712573771,0,6.204854765,2.764749537,0,4.691913772,0.891652488
RFTN1,0.243303487,0,0,0,0,5.744591687,0,3.354621415,0,3.705469276,1.604403485,5.330974226,1.061015775,0,3.029258511,0.810237431,0.624989873,3.713926716,6.213895479,0,0,2.860327197,4.280035783,3.952901958,0,4.72918838,4.918219246,0,0,2.285520589,4.060669995,0,0,6.661149587,0,4.559375561,0,8.248424303,0.160920188,4.093357346,6.067214915,6.203659268,0.495695163,0,0,8.168917769,0,2.318316841,0.287354085,0,0,0,6.842996426,0.159112461,2.253626278,0,0,0,6.663573759,0,0.27857955,3.321336469,0,8.396051142,7.181796293,0,4.993203349,1.207143205,6.107315432,6.318336728,6.643342499,6.336951015,0,3.223530671,6.725272177,4.386238444,2.364012054,1.70012895,1.258518925,1.276317993,0,6.119862443,7.172096426,0,5.156853657,6.496684438,0,0,3.089684577,0,0,5.385600147,8.792370599,7.938342844,7.110214974,0,6.07333397,0,0,0,0,1.063295842,6.211415266,0.321235435,6.775873612,8.662190543,0.63505783,0,0,6.115803174,0,5.909684313,0,5.451023137,6.712909376,0,0,4.907183914,2.32380238,2.843903469,0.896155576,0.357720896,0,1.527670916,0.686433293,6.089008667,6.598908555,5.232330741,3.416366871,1.136847604,6.398889023
RAB5A,4.021737329,5.250207447,0.824156844,0,0,3.603988271,8.02381145,0.350949786,5.838611469,1.504518701,0,0,0.571531198,0,6.019286035,0.926151273,4.958309104,7.843922935,5.225244076,0,0,0,2.165911939,5.722045177,6.324591015,0,7.601448421,0,6.387714072,0,0.162596766,0.151469198,2.734547054,4.748847617,0,0,0,0,5.588618703,6.921107802,0,1.759326305,0.166586914,6.426556619,0,7.346559828,0,0,0,0,0,0,5.204355947,9.30258158,0,0,3.894487967,5.267404706,3.363409404,6.493293469,4.916858765,3.776335643,0.299947954,7.567622259,0.407624676,0,1.582266953,2.384906325,7.799617078,0,0,4.395638665,8.654341732,6.684186158,6.730677993,7.237324702,3.874206786,6.551349898,6.355486769,2.135469202,0,7.602862887,0,0.652968269,4.45096707,4.45262179,4.555926561,0,4.183978709,0,4.10850773,4.004806978,0,0,1.14208663,6.800408135,4.914220072,0.821955065,1.684280151,6.186807557,0.263515224,0,0,0.260868739,3.950095094,2.612965779,0,0,0,0,3.428303218,5.828799115,6.146121606,0.217851097,7.669329422,0,0,4.523361219,3.404303691,6.822609069,0,5.215895994,6.432226185,6.366206794,7.825809155,0.6617496,4.296479433,3.859870186,0,2.010958822,1.97162632
GTF2F1,0,0,2.547030237,0,0,0.15885403,8.107265208,6.997074451,5.452200049,2.963843998,0,0,0.294429602,0,5.409017484,7.647187131,0,2.150104701,5.494207576,0,4.10634832,2.7015047,1.558316621,3.603750953,0,0.215119425,0,0,5.205775658,2.735283875,5.516339843,0,2.905235356,1.372617844,8.956913056,7.212080965,1.214311349,4.71422903,4.738838079,3.870315396,0,1.162403414,0.425029548,0,0,5.091145496,0,4.526425684,0,0,0,0.381172605,0,0,0,0,0,1.004968732,4.185977518,4.804094873,0,5.128210902,3.459024984,1.398897571,0,0,6.413746386,0.908659217,0,0,5.665989601,0,1.558561532,4.789280621,8.430617302,5.386410909,6.819462544,3.664846882,1.349704962,4.715893371,1.837257042,1.940317121,2.656015774,6.329256376,7.007430997,0,7.115259063,2.630382172,0,0,0,0.252657864,6.451966062,0,6.989120837,2.786199043,1.112700133,7.005006921,0.951513196,3.605565448,0,0.165558254,0,2.32308179,0,2.353944279,0,0,0,7.306813609,0.889473543,3.306349744,0,5.570305052,0,0,0,0,5.25910297,0,0,0,0,0.533663013,5.637917392,1.787599627,0,4.270947487,3.407719837,6.386522999,7.760688017
BRP44,5.062816809,4.795517613,0,0,0.795766948,0.321812675,5.265493156,3.362245436,5.46556967,8.083226667,1.80607654,0,5.498646597,0,4.724573879,5.51404965,0,0,3.460375619,0,2.121778004,6.421743384,0,0,5.530713767,2.854514365,0,7.440703092,2.440367562,1.136585153,4.953986872,6.228049048,0.906967537,3.228126031,1.598603411,5.894364274,4.919053994,3.925078457,0,5.041575927,2.287354085,5.095624882,0.799501814,0.477055566,0,7.187450064,0,1.675815931,0,0,0,0,0.617392528,0,0,0,0,0,0,5.679930432,3.707337043,0,8.58506018,0,0,0,6.984638336,2.750885156,0,0,3.635522241,3.280466427,3.532242142,7.508230554,0,4.311662954,0.798755614,7.660010159,0,2.132905812,4.269616691,0,3.62767687,4.807334312,0,4.510955592,5.718652054,6.280301238,5.007657485,3.963400138,4.329425023,5.635838536,8.601374503,0,4.920812539,4.734238127,5.798636393,0,5.674805239,2.076969476,2.026268908,6.680405942,0,0,5.689805133,0.822199873,0,0,0,7.34922018,3.055230367,0,7.512358063,6.279077509,3.982090039,0,10.37366496,0,0,0,0,6.4380749,7.145167939,0.96702101,3.652027513,0,8.171089708,1.244217298,0,4.994919089,0
GPR108,1.961697406,0.200755432,0,0,0,0.738897511,0.888382834,6.405997464,9.166469168,0,4.265114294,8.044666238,0,0,0.433814084,8.493612912,6.513133818,6.071730497,1.532067552,5.199460341,2.385927957,7.121671305,7.585905204,1.935686035,7.232637735,0,0.187387707,0,0,2.019666336,2.273963399,0,2.057519589,6.349170631,0,0,0,0,0,0,0,7.294914771,5.477913656,0,3.747859985,7.168408373,0,0,0,0,0,5.32397887,5.261463117,0,0,0,0,7.761342459,0.540424105,5.205146151,4.826416287,1.929715264,7.910967656,3.027755639,7.679040186,0,7.342782282,5.598162699,1.41970068,3.219106551,3.624147697,0.155749233,1.762178702,6.992924744,4.443772393,0,6.600036284,0,0,0,2.041242982,0,0,7.780007537,6.312046131,1.961845549,1.951475896,0,7.539176651,0,2.003602237,6.154194325,1.718569863,0,0,5.417852515,1.541366151,0,6.759747068,6.616957519,0,5.753026829,0,9.013467006,1.65209637,3.90175509,5.09131055,2.344487663,0,0.28853575,1.63254742,2.458198243,0,6.425548262,4.0227939,0,0,0,5.608191235,0,0,1.552475444,8.950520321,0,3.670058513,0.342099565,8.679900179,7.209285691,1.863779904,6.987686951,2.398240905
MAN2A1,0,3.436121853,3.249930709,0,0.402613043,0,3.673737315,0,1.140647793,0.863066228,0,0.488515009,1.654847942,0,0,1.789520604,1.820607877,0,1.280896942,1.103598348,1.515964702,0.497535726,2.276198865,2.449614195,4.007563306,2.945045797,3.326781803,0.695904755,4.384429777,1.129414914,0.063640993,4.731682884,0,2.311822775,0.985573292,2.38294387,1.311154315,0,0,3.763793976,7.798268303,1.171463056,0.872474197,1.556895319,2.363283236,3.972646708,0,1.455544225,0.137896932,0,0,3.75188143,5.245590734,0,0.051441711,0,6.771213449,4.584992557,4.925149687,3.460244545,0.744763887,4.575566474,1.751934973,0,5.371147601,0,1.856866207,4.382646504,0,0,0,0.10433666,5.580597764,0.624334889,3.774217774,1.717999879,2.661726801,3.537258788,4.202456903,2.716990894,2.90371317,0,1.969086007,3.980966676,4.594279811,2.093255921,3.460375619,4.734064666,4.306284116,0,0,0,0,2.496206666,4.678793072,0.626953042,0,0,0,0.48769214,0,0.046421211,0,0,3.432678856,1.506551167,0,5.632460174,0.797345071,1.111432005,0,0.6388616,0,2.751763627,0,2.525693061,0,5.318273451,2.781212813,0.110496882,0,4.381726359,0.610794538,0,3.203749308,0,3.17892175,0,3.292870075,1.858498283,0
RALBP1,4.877017812,6.146319189,1.049630768,0,0.528171209,3.39791246,7.303516839,5.115911348,2.021017707,4.819795895,0.53116933,4.945879213,6.79947332,0,4.065977216,5.707441964,4.157553092,0.316377482,7.381789508,3.159629186,1.179956847,2.689455724,8.228447389,4.360160571,2.536003151,6.219156901,1.76251891,0,0,1.976363636,2.716003161,0.249506021,4.064701814,4.252907596,0,4.874585512,4.349308656,1.444136957,2.822587401,5.13251104,5.593840763,0,4.300833912,8.57416283,0,6.865626882,0,2.042749384,2.430954271,0,0,0,2.399499253,7.309532742,5.721495704,0,0.414568547,0,1.557777671,0,3.20614307,2.328836464,0,4.396652728,0,0,0.756596351,1.124857467,1.008630305,3.792938622,2.295987445,2.27908494,4.530270548,0,1.922426225,2.299186034,4.913966466,6.552066536,0,2.050710642,0,0,0,0.481918878,0,0,0.903886665,2.631988957,0.510050456,5.119194301,4.321423063,1.664619367,0,3.386466093,2.730422584,2.181325221,0,0.308360875,0,0,1.166136966,4.414561782,5.944270475,0,0,0.786930861,0,0.292781749,1.230633421,4.935384311,4.465967936,2.008809555,0,5.170149403,0,0,0,0.921740986,1.360813732,0,0,0,0,0,3.794332682,1.000576963,0.60757888,2.937137202,0,0.665574688,0.986301705
